,UF,Instituição de Ensino,Contagem,Proporção
0,ES,Universidade Federal do Espírito Santo,16,33.33%
1,MS,Universidade Estadual de Mato Grosso do Sul,4,8.33%
2,DF,Universidade de Brasília,3,6.25%
3,MT,Universidade do Estado de Mato Grosso,2,4.17%
4,SP,Universidade Estadual de Campinas,2,4.17%
5,RS,Universidade Federal do Rio Grande do Sul,2,4.17%
6,PR,Universidade Estadual de Maringá,2,4.17%
7,MG,Universidade Federal de Viçosa,2,4.17%
8,MT,Universidade Federal do Mato Grosso,2,4.17%
9,RR,Universidade Federal de Roraima,1,2.08%
10,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1,2.08%
11,PR,Universidade Estadual do Oeste do Paraná,1,2.08%
12,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,1,2.08%
13,AM,Universidade Federal do Amazonas,1,2.08%
14,BA,Universidade Federal do Oeste da Bahia,1,2.08%
15,MA,Universidade Federal do Maranhão,1,2.08%
16,ES,Faculdade de Música do Espírito Santo,1,2.08%
17,CE,Universidade Federal do Ceará,1,2.08%
18,CE,Universidade Estadual Vale do Acaraú,1,2.08%
19,BA,Universidade do Estado da Bahia,1,2.08%
20,BA,Universidade Federal do Sul da Bahia,1,2.08%
21,SP,Universidade Federal do ABC,1,2.08%
