,UF,Instituição de Ensino,Contagem,Proporção
0,ES,Universidade Federal do Espírito Santo,35,30.43%
1,MT,Universidade Federal do Mato Grosso,5,4.35%
2,MG,Centro Federal de Educação Tecnológica de Minas Gerais,5,4.35%
3,RS,Universidade Federal de Pelotas,4,3.48%
4,PR,Universidade Estadual de Maringá,4,3.48%
5,AM,Universidade Federal do Amazonas,4,3.48%
6,BA,Universidade do Estado da Bahia,4,3.48%
7,PE,Universidade Federal Rural de Pernambuco,4,3.48%
8,MT,Universidade do Estado de Mato Grosso,4,3.48%
9,MS,Universidade Estadual de Mato Grosso do Sul,3,2.61%
10,PB,Universidade Federal da Paraíba,3,2.61%
11,RJ,Universidade do Estado do Rio de Janeiro,3,2.61%
12,CE,Universidade Estadual Vale do Acaraú,3,2.61%
13,SP,Universidade Estadual de Campinas,3,2.61%
14,RS,Universidade Federal do Rio Grande do Sul,2,1.74%
15,RS,Universidade Federal de Rio Grande,2,1.74%
16,SE,Universidade Federal de Sergipe,2,1.74%
17,PR,Universidade Estadual de Londrina,2,1.74%
18,BA,Universidade Estadual de Feira de Santana,2,1.74%
19,PR,Universidade Estadual do Oeste do Paraná,2,1.74%
20,SP,Universidade de São Paulo,2,1.74%
21,AL,Universidade Federal de Alagoas,2,1.74%
22,RJ,Universidade Federal do Rio de Janeiro,1,0.87%
23,SC,Universidade do Estado de Santa Catarina,1,0.87%
24,RO,Universidade Federal de Rondônia,1,0.87%
25,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",1,0.87%
26,RJ,Universidade Estadual do Norte Fluminense,1,0.87%
27,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1,0.87%
28,PR,Universidade Tecnológica Federal do Paraná,1,0.87%
29,PR,Universidade Federal da Integração Latino-Americana,1,0.87%
30,PA,Universidade Federal do Pará,1,0.87%
31,MG,Universidade Federal de Uberlândia,1,0.87%
32,CE,Universidade Federal do Ceará,1,0.87%
33,CE,Universidade Estadual do Ceará,1,0.87%
34,BA,Universidade Estadual de Santa Cruz,1,0.87%
35,AP,Universidade Federal do Amapá,1,0.87%
36,TO,Universidade de Guripi,1,0.87%
