,uf_instituicao,instituicao,contagem
0,ES,Universidade Federal do Espírito Santo,16
1,MS,Universidade Estadual de Mato Grosso do Sul,4
2,DF,Universidade de Brasília,3
3,MT,Universidade do Estado de Mato Grosso,2
4,SP,Universidade Estadual de Campinas,2
5,RS,Universidade Federal do Rio Grande do Sul,2
6,PR,Universidade Estadual de Maringá,2
7,MG,Universidade Federal de Viçosa,2
8,MT,Universidade Federal do Mato Grosso,2
9,RR,Universidade Federal de Roraima,1
10,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1
11,PR,Universidade Estadual do Oeste do Paraná,1
12,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,1
13,AM,Universidade Federal do Amazonas,1
14,BA,Universidade Federal do Oeste da Bahia,1
15,MA,Universidade Federal do Maranhão,1
16,ES,Faculdade de Música do Espírito Santo,1
17,CE,Universidade Federal do Ceará,1
18,CE,Universidade Estadual Vale do Acaraú,1
19,BA,Universidade do Estado da Bahia,1
20,BA,Universidade Federal do Sul da Bahia,1
21,SP,Universidade Federal do ABC,1
