,UF,Instituição de Ensino,Contagem,Proporção
0,ES,Universidade Federal do Espírito Santo,8,12.31%
1,PR,Universidade Estadual de Maringá,4,6.15%
2,RS,Universidade Federal de Pelotas,4,6.15%
3,MS,Universidade Estadual de Mato Grosso do Sul,3,4.62%
4,AM,Universidade Federal do Amazonas,3,4.62%
5,RJ,Universidade do Estado do Rio de Janeiro,3,4.62%
6,MT,Universidade do Estado de Mato Grosso,3,4.62%
7,MT,Universidade Federal do Mato Grosso,2,3.08%
8,PR,Universidade Estadual do Oeste do Paraná,2,3.08%
9,PR,Universidade Estadual de Londrina,2,3.08%
10,PE,Universidade Federal Rural de Pernambuco,2,3.08%
11,PB,Universidade Federal da Paraíba,2,3.08%
12,AL,Universidade Federal de Alagoas,2,3.08%
13,RS,Universidade Federal de Rio Grande,2,3.08%
14,CE,Universidade Estadual Vale do Acaraú,2,3.08%
15,SE,Universidade Federal de Sergipe,2,3.08%
16,SP,Universidade de São Paulo,2,3.08%
17,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1,1.54%
18,RO,Universidade Federal de Rondônia,1,1.54%
19,SC,Universidade do Estado de Santa Catarina,1,1.54%
20,RJ,Universidade Federal do Rio de Janeiro,1,1.54%
21,RJ,Universidade Estadual do Norte Fluminense,1,1.54%
22,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",1,1.54%
23,PR,Universidade Tecnológica Federal do Paraná,1,1.54%
24,PR,Universidade Federal da Integração Latino-Americana,1,1.54%
25,AM,Universidade Estadual do Amazonas,1,1.54%
26,PA,Universidade Federal do Pará,1,1.54%
27,MG,Universidade Federal de Uberlândia,1,1.54%
28,MG,Centro Federal de Educação Tecnológica de Minas Gerais,1,1.54%
29,CE,Universidade Federal do Ceará,1,1.54%
30,CE,Universidade Estadual do Ceará,1,1.54%
31,BA,Universidade do Estado da Bahia,1,1.54%
32,BA,Universidade Estadual de Feira de Santana,1,1.54%
33,TO,Universidade de Guripi,1,1.54%
