,uf_instituicao,instituicao,contagem
0,ES,Universidade Federal do Espírito Santo,44
1,SP,Universidade Estadual de Campinas,8
2,PB,Universidade Estadual da Paraíba,7
3,MT,Universidade Federal do Mato Grosso,5
4,MG,Centro Federal de Educação Tecnológica de Minas Gerais,5
5,AM,Universidade Federal do Amazonas,4
6,PE,Universidade Federal Rural de Pernambuco,4
7,RS,Universidade Federal de Pelotas,4
8,MT,Universidade do Estado de Mato Grosso,4
9,MG,Universidade Federal de Uberlândia,4
10,MA,Universidade Federal do Maranhão,4
11,PR,Universidade Estadual de Maringá,4
12,BA,Universidade do Estado da Bahia,4
13,SE,Universidade Federal de Sergipe,3
14,CE,Universidade Estadual Vale do Acaraú,3
15,MS,Universidade Estadual de Mato Grosso do Sul,3
16,RJ,Universidade do Estado do Rio de Janeiro,3
17,SP,Universidade de São Paulo,3
18,PB,Universidade Federal da Paraíba,3
19,PR,Universidade Estadual do Oeste do Paraná,2
20,PR,Universidade Estadual de Londrina,2
21,PR,Universidade Federal da Integração Latino-Americana,2
22,AL,Universidade Federal de Alagoas,2
23,RS,Universidade Federal de Rio Grande,2
24,RS,Universidade Federal do Rio Grande do Sul,2
25,GO,Universidade Estadual de Goiás,2
26,BA,Universidade Estadual do Sudoeste da Bahia,2
27,BA,Universidade Estadual de Feira de Santana,2
28,RJ,Universidade Estadual do Norte Fluminense,1
29,SC,Universidade do Estado de Santa Catarina,1
30,RO,Universidade Federal de Rondônia,1
31,RJ,Universidade Federal do Rio de Janeiro,1
32,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,1
33,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1
34,PR,Universidade Tecnológica Federal do Paraná,1
35,PR,Universidade Estadual do Paraná,1
36,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",1
37,PA,Universidade Federal do Pará,1
38,PA,Universidade Federal do Oeste do Pará,1
39,CE,Universidade Federal do Ceará,1
40,CE,Universidade Estadual do Ceará,1
41,BA,Universidade Estadual de Santa Cruz,1
42,AP,Universidade Federal do Amapá,1
43,TO,Universidade de Guripi,1
