,UF,Instituição de Ensino,Contagem,Proporção
109,BA,Universidade Federal do Oeste da Bahia,1,0.05%
110,MG,Universidade Federal de Alfenas,1,0.05%
111,RS,Universidade de Santa Cruz do Sul,1,0.05%
112,ES,Associação Brasileira de Odontologia do Espírito Santo,1,0.05%
113,RS,Universidade Federal do Pampa,1,0.05%
114,MG,Universidade Federal de Itajubá,1,0.05%
115,GO,Instituto Federal de Goiás Campus Goiânia Oeste,1,0.05%
116,MA,Universidade Estadual da Região Tocantina do Maranhão,1,0.05%
117,MA,Universidade Estadual do Maranhão,1,0.05%
118,RS,Eeiem Nhamandu Nhemopu'ã,1,0.05%
119,RJ,Secretaria de Estado de Educação do Rio de Janeiro,1,0.05%
