,UF,Instituição de Ensino,Contagem,Proporção
0,ES,Universidade Federal do Espírito Santo,94,4.14%
1,RJ,Universidade do Estado do Rio de Janeiro,92,4.05%
2,SP,Universidade Federal do ABC,87,3.83%
3,SP,Universidade Estadual de Campinas,83,3.66%
4,PE,Universidade Federal do Vale do São Francisco,82,3.61%
5,PR,Universidade Estadual de Londrina,71,3.13%
6,RS,Universidade Federal do Rio Grande do Sul,64,2.82%
7,PE,Universidade Federal Rural de Pernambuco,60,2.64%
8,RS,Universidade Federal de Pelotas,54,2.38%
9,PR,Universidade Estadual do Oeste do Paraná,53,2.34%
10,CE,Universidade Estadual do Ceará,53,2.34%
11,BA,Universidade Federal do Sul da Bahia,51,2.25%
12,RJ,Universidade Estadual do Norte Fluminense,51,2.25%
13,MT,Universidade do Estado de Mato Grosso,49,2.16%
14,BA,Universidade Estadual de Santa Cruz,48,2.12%
15,BA,Universidade Estadual de Feira de Santana,48,2.12%
16,AM,Universidade Federal do Amazonas,42,1.85%
17,BA,Universidade do Estado da Bahia,41,1.81%
18,RJ,Universidade Federal do Rio de Janeiro,41,1.81%
19,MA,Universidade Federal do Maranhão,41,1.81%
20,MT,Universidade Federal do Mato Grosso,40,1.76%
21,PI,Universidade Federal do Piauí,39,1.72%
22,PR,Universidade Estadual do Paraná,38,1.67%
23,RO,Universidade Federal de Rondônia,38,1.67%
24,PR,Universidade Estadual de Maringá,35,1.54%
25,MG,Centro Federal de Educação Tecnológica de Minas Gerais,35,1.54%
26,DF,Universidade de Brasília,35,1.54%
27,PA,Universidade do Estado do Pará,33,1.45%
28,MG,Universidade Federal de Viçosa,32,1.41%
29,AL,Universidade Federal de Alagoas,31,1.37%
30,PR,Universidade Tecnológica Federal do Paraná,26,1.15%
31,CE,Universidade Federal do Ceará,25,1.1%
32,SC,Universidade do Estado de Santa Catarina,25,1.1%
33,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,25,1.1%
34,SP,Universidade de São Paulo,23,1.01%
35,MG,Universidade Federal de Uberlândia,23,1.01%
36,AC,Universidade Federal do Acre,22,0.97%
37,MT,Universidade Federal de Rondonópolis,21,0.93%
38,DF,Universidade do Distrito Federal,21,0.93%
39,MG,Universidade Federal de Lavras,20,0.88%
40,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,20,0.88%
41,PR,Universidade Federal do Paraná,20,0.88%
42,PR,Universidade Estadual de Ponta Grossa,19,0.84%
43,CE,Universidade Regional do Cariri,19,0.84%
44,PE,Universidade de Pernambuco,18,0.79%
45,MS,Universidade Estadual de Mato Grosso do Sul,18,0.79%
46,BA,Universidade Estadual do Sudoeste da Bahia,16,0.71%
47,SE,Universidade Federal de Sergipe,16,0.71%
48,PA,Universidade Federal do Oeste do Pará,15,0.66%
49,SP,Universidade Federal de São Carlos,14,0.62%
50,PA,Universidade Federal Rural da Amazônia,14,0.62%
51,AP,Universidade Federal do Amapá,12,0.53%
52,RJ,Universidade Federal Fluminense,11,0.48%
53,PI,Universidade Estadual do Piauí,11,0.48%
54,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",11,0.48%
55,PR,Universidade Estadual do Norte do Paraná,11,0.48%
56,RR,Universidade Federal de Roraima,10,0.44%
57,MS,Universidade Federal de Dourados,9,0.4%
58,PA,Universidade Federal do Pará,9,0.4%
59,PR,Universidade Federal da Integração Latino-Americana,9,0.4%
60,PB,Universidade Federal da Paraíba,9,0.4%
61,RS,Instituto Federal do Rio Grande do Sul,9,0.4%
62,SC,Universidade Federal da Fronteira Sul,8,0.35%
63,PE,Universidade Federal de Pernambuco,8,0.35%
64,PB,Universidade Estadual da Paraíba,8,0.35%
65,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,8,0.35%
66,BA,Universidade Federal do Recôncavo da Bahia,8,0.35%
67,PB,Universidade Federal de Campina Grande,7,0.31%
68,GO,Universidade Estadual de Goiás,7,0.31%
69,MG,Universidade Federal de Ouro Preto,7,0.31%
70,MG,Universidade Federal de Juiz de Fora,7,0.31%
71,PR,Universidade Estadual do Centro-Oeste,7,0.31%
72,RS,Universidade Federal de Santa Maria,6,0.26%
73,RN,Universidade Federal do Rio Grande do Norte,5,0.22%
74,RS,Universidade Federal de Rio Grande,5,0.22%
75,RR,Universidade Estadual de Roraima,4,0.18%
76,TO,Universidade de Guripi,4,0.18%
77,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",4,0.18%
78,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,4,0.18%
79,MG,Universidade Federal de São João del Rei,4,0.18%
80,MG,Universidade do Estado de Minas Gerais,4,0.18%
81,RN,Universidade Federal Rural do Semi-Árido,3,0.13%
82,SP,Universidade Federal de São Paulo,3,0.13%
83,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,3,0.13%
84,PA,Universidade Federal do Sul e Sudeste do Pará,3,0.13%
85,BA,Universidade Federal da Bahia,3,0.13%
86,PI,Universidade Federal do Delta do Parnaíba,3,0.13%
87,PR,Instituto Federal do Paraná,2,0.09%
88,AP,Universidade Estado do Amapá,2,0.09%
89,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,2,0.09%
90,GO,Instituto Federal de Goiás,2,0.09%
91,MG,Universidade Federal do Triângulo Mineiro,2,0.09%
92,MG,Universidade Estadual de Montes Claros,2,0.09%
93,RJ,Universidade do Rio de Janeiro,2,0.09%
94,PE,Universidade Federal do Agreste de Pernambuco,2,0.09%
95,AC,Colégio de Aplicação da Universidade Federal do Acre,2,0.09%
96,MG,Universidade Federal de Itajubá,1,0.04%
97,MG,Universidade Federal de Alfenas,1,0.04%
98,TO,Universidade Federal do Norte de Tocantins,1,0.04%
99,MT,Instituto Federal do Mato Grosso,1,0.04%
100,SP,Universidade Nove de Julho,1,0.04%
