,UF,Instituição de Ensino,Contagem,Proporção
101,BA,Ceep em Biotecnologia e Saúde,1,0.04%
102,RJ,Colégio de Aplicação da Universidade do Estado do Rio de Janeiro,1,0.04%
103,RJ,Secretaria de Estado de Educação do Rio de Janeiro,1,0.04%
104,BA,Universidade Federal do Oeste da Bahia,1,0.04%
105,SP,Universidade Estadual Paulista,1,0.04%
106,SP,Rede Municipal de Diadema,1,0.04%
107,SP,Instituto Federal de São Paulo,1,0.04%
108,SP,Faculdade de Medicina de Jundiaí,1,0.04%
109,PA,Instituto Federal do Pará Campus Castanhal,1,0.04%
110,ES,Associação Brasileira de Odontologia do Espírito Santo,1,0.04%
111,RO,Instituto Federal de Rondônia,1,0.04%
112,RS,Universidade de Santa Cruz do Sul,1,0.04%
113,GO,Instituto Federal de Goiás Campus Goiânia Oeste,1,0.04%
114,RS,Universidade Federal do Pampa,1,0.04%
115,MA,Instituto Federal do Maranhão,1,0.04%
116,MA,Universidade Estadual da Região Tocantina do Maranhão,1,0.04%
117,MA,Universidade Estadual do Maranhão,1,0.04%
118,MG,Instituto Federal do Sudeste Mineiro,1,0.04%
119,RJ,Universidade Federal do Estado do Rio de Janeiro,1,0.04%
120,RS,Eeiem Nhamandu Nhemopu'ã,1,0.04%
121,MT,Instituto Saberes,1,0.04%
