,UF,Instituição de Ensino,Contagem,Proporção
0,SP,Universidade Estadual de Campinas,39,5.45%
1,SP,Universidade Federal do ABC,29,4.06%
2,BA,Universidade do Estado da Bahia,29,4.06%
3,RJ,Universidade do Estado do Rio de Janeiro,26,3.64%
4,ES,Universidade Federal do Espírito Santo,26,3.64%
5,MA,Universidade Federal do Maranhão,22,3.08%
6,PE,Universidade Federal do Vale do São Francisco,21,2.94%
7,PR,Universidade Estadual de Londrina,20,2.8%
8,PE,Universidade Federal Rural de Pernambuco,20,2.8%
9,MG,Centro Federal de Educação Tecnológica de Minas Gerais,20,2.8%
10,RS,Universidade Federal de Pelotas,19,2.66%
11,RS,Universidade Federal do Rio Grande do Sul,18,2.52%
12,BA,Universidade Estadual de Feira de Santana,17,2.38%
13,BA,Universidade Federal do Sul da Bahia,16,2.24%
14,PR,Universidade Estadual do Paraná,15,2.1%
15,MT,Universidade Federal do Mato Grosso,14,1.96%
16,CE,Universidade Estadual do Ceará,14,1.96%
17,MT,Universidade do Estado de Mato Grosso,13,1.82%
18,RJ,Universidade Federal do Rio de Janeiro,12,1.68%
19,BA,Universidade Estadual de Santa Cruz,12,1.68%
20,RO,Universidade Federal de Rondônia,12,1.68%
21,PA,Universidade do Estado do Pará,11,1.54%
22,PR,Universidade Estadual do Oeste do Paraná,11,1.54%
23,DF,Universidade do Distrito Federal,11,1.54%
24,AM,Universidade Federal do Amazonas,10,1.4%
25,PI,Universidade Federal do Piauí,10,1.4%
26,DF,Universidade de Brasília,10,1.4%
27,SP,Universidade de São Paulo,9,1.26%
28,MS,Universidade Estadual de Mato Grosso do Sul,9,1.26%
29,RJ,Universidade Estadual do Norte Fluminense,9,1.26%
30,MG,Universidade Federal de Uberlândia,8,1.12%
31,MG,Universidade Federal de Viçosa,8,1.12%
32,PR,Universidade Estadual de Maringá,7,0.98%
33,PA,Universidade Federal Rural da Amazônia,7,0.98%
34,AL,Universidade Federal de Alagoas,7,0.98%
35,AC,Universidade Federal do Acre,7,0.98%
36,SC,Universidade do Estado de Santa Catarina,7,0.98%
37,PR,Universidade Federal do Paraná,7,0.98%
38,BA,Universidade Estadual do Sudoeste da Bahia,7,0.98%
39,MT,Universidade Federal de Rondonópolis,6,0.84%
40,CE,Universidade Federal do Ceará,6,0.84%
41,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",6,0.84%
42,CE,Universidade Regional do Cariri,5,0.7%
43,PB,Universidade Federal de Campina Grande,5,0.7%
44,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,5,0.7%
45,MG,Universidade Federal de Lavras,5,0.7%
46,PE,Universidade de Pernambuco,5,0.7%
47,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,5,0.7%
48,SC,Universidade Federal da Fronteira Sul,4,0.56%
49,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",4,0.56%
50,RS,Instituto Federal do Rio Grande do Sul,4,0.56%
51,SP,Universidade Federal de São Carlos,4,0.56%
52,MG,Universidade Federal de Juiz de Fora,4,0.56%
53,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,4,0.56%
54,PE,Universidade Federal de Pernambuco,3,0.42%
55,BA,Universidade Federal do Recôncavo da Bahia,3,0.42%
56,MG,Universidade Federal de Ouro Preto,3,0.42%
57,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,3,0.42%
58,GO,Universidade Estadual de Goiás,3,0.42%
59,PR,Universidade Estadual de Ponta Grossa,3,0.42%
60,PR,Universidade Tecnológica Federal do Paraná,3,0.42%
61,PR,Universidade Estadual do Norte do Paraná,3,0.42%
62,SE,Universidade Federal de Sergipe,3,0.42%
63,SP,Universidade Federal de São Paulo,2,0.28%
64,RS,Universidade Federal de Santa Maria,2,0.28%
65,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,2,0.28%
66,RN,Universidade Federal Rural do Semi-Árido,2,0.28%
67,PB,Universidade Estadual da Paraíba,2,0.28%
68,PR,Universidade Federal da Integração Latino-Americana,2,0.28%
69,PA,Universidade Federal do Oeste do Pará,2,0.28%
70,AP,Universidade Estado do Amapá,2,0.28%
71,AP,Universidade Federal do Amapá,2,0.28%
72,PR,Universidade Estadual do Centro-Oeste,2,0.28%
73,MG,Universidade do Estado de Minas Gerais,2,0.28%
74,TO,Universidade de Guripi,2,0.28%
75,PA,Universidade Federal do Pará,2,0.28%
76,MT,Instituto Saberes,1,0.14%
77,PI,Universidade Federal do Delta do Parnaíba,1,0.14%
78,PI,Universidade Estadual do Piauí,1,0.14%
79,BA,Ceep em Biotecnologia e Saúde,1,0.14%
80,BA,Universidade Federal da Bahia,1,0.14%
81,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,1,0.14%
82,SP,Universidade Estadual Paulista,1,0.14%
83,SP,Instituto Federal de São Paulo,1,0.14%
84,SP,Colégio Técnico de Campinas,1,0.14%
85,GO,Instituto Federal de Goiás Campus Goiânia Oeste,1,0.14%
86,MA,Instituto Federal do Maranhão,1,0.14%
87,MA,Universidade Estadual do Maranhão,1,0.14%
88,MG,Universidade Estadual de Montes Claros,1,0.14%
89,MG,Universidade Federal de Alfenas,1,0.14%
90,PB,Universidade Federal da Paraíba,1,0.14%
91,MG,Universidade Federal do Triângulo Mineiro,1,0.14%
92,PA,Universidade Federal do Sul e Sudeste do Pará,1,0.14%
93,MS,Universidade Federal de Dourados,1,0.14%
94,RS,Eeiem Nhamandu Nhemopu'ã,1,0.14%
95,MT,Instituto Federal do Mato Grosso,1,0.14%
96,RS,Universidade Federal de Rio Grande,1,0.14%
