,uf_instituicao,instituicao,contagem
0,SP,Universidade Estadual de Campinas,118
1,ES,Universidade Federal do Espírito Santo,112
2,MA,Universidade Federal do Maranhão,68
3,RJ,Universidade do Estado do Rio de Janeiro,66
4,PR,Universidade Estadual de Londrina,64
5,PE,Universidade Federal do Vale do São Francisco,61
6,SP,Universidade Federal do ABC,59
7,BA,Universidade do Estado da Bahia,55
8,BA,Universidade Estadual de Santa Cruz,53
9,RS,Universidade Federal do Rio Grande do Sul,48
10,RJ,Universidade Estadual do Norte Fluminense,47
11,CE,Universidade Estadual do Ceará,46
12,PR,Universidade Estadual do Oeste do Paraná,45
13,PE,Universidade Federal Rural de Pernambuco,40
14,MG,Centro Federal de Educação Tecnológica de Minas Gerais,40
15,BA,Universidade Estadual de Feira de Santana,39
16,MG,Universidade Federal de Lavras,39
17,MT,Universidade do Estado de Mato Grosso,37
18,AM,Universidade Federal do Amazonas,36
19,RS,Universidade Federal de Pelotas,36
20,PR,Universidade Estadual de Maringá,36
21,DF,Universidade de Brasília,35
22,BA,Universidade Federal do Sul da Bahia,35
23,PR,Universidade Tecnológica Federal do Paraná,34
24,AC,Universidade Federal do Acre,33
25,RJ,Universidade Federal do Rio de Janeiro,33
26,PR,Universidade Estadual do Paraná,33
27,PI,Universidade Federal do Piauí,30
28,PR,Universidade Federal da Integração Latino-Americana,28
29,MG,Universidade Federal de Viçosa,28
30,MG,Universidade Federal de São João del Rei,28
31,MT,Universidade Federal do Mato Grosso,27
32,RO,Universidade Federal de Rondônia,27
33,RS,Universidade Federal de Santa Maria,25
34,PA,Universidade do Estado do Pará,25
35,AL,Universidade Federal de Alagoas,24
36,SP,Universidade de São Paulo,23
37,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",22
38,BA,Universidade Estadual do Sudoeste da Bahia,22
39,CE,Universidade Federal do Ceará,21
40,MG,Universidade Federal de Uberlândia,21
41,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,21
42,PR,Universidade Estadual de Ponta Grossa,21
43,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,20
44,MS,Universidade Federal de Dourados,20
45,SC,Universidade do Estado de Santa Catarina,20
46,GO,Universidade Estadual de Goiás,17
47,MT,Universidade Federal de Rondonópolis,16
48,PR,Universidade Federal do Paraná,16
49,PB,Universidade Estadual da Paraíba,16
50,SE,Universidade Federal de Sergipe,15
51,PA,Universidade Federal Rural da Amazônia,15
52,CE,Universidade Regional do Cariri,14
53,PA,Universidade Federal do Oeste do Pará,13
54,PE,Universidade de Pernambuco,13
55,RJ,Universidade Federal Fluminense,11
56,MG,Universidade Federal de Ouro Preto,11
57,SP,Universidade Federal de São Carlos,11
58,PI,Universidade Estadual do Piauí,11
59,RR,Universidade Federal de Roraima,10
60,DF,Universidade do Distrito Federal,10
61,AP,Universidade Federal do Amapá,10
62,PR,Universidade Estadual do Norte do Paraná,9
63,MS,Universidade Estadual de Mato Grosso do Sul,9
64,RS,Universidade Federal de Rio Grande,9
65,PB,Universidade Federal da Paraíba,9
66,PA,Universidade Federal do Pará,8
67,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,8
68,RS,Instituto Federal do Rio Grande do Sul,7
69,BA,Universidade Federal do Oeste da Bahia,7
70,BA,Universidade Federal do Recôncavo da Bahia,7
71,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",7
72,BA,Universidade Federal da Bahia,6
73,SC,Universidade Federal da Fronteira Sul,5
74,SP,Universidade Federal de São Paulo,5
75,RR,Universidade Estadual de Roraima,5
76,PR,Universidade Estadual do Centro-Oeste,5
77,RN,Universidade Federal do Rio Grande do Norte,5
78,PE,Universidade Federal de Pernambuco,5
79,MG,Universidade Federal de Juiz de Fora,3
80,GO,Universidade Federal de Catalão,3
81,MG,Universidade do Estado de Minas Gerais,3
82,RJ,Universidade do Rio de Janeiro,2
83,RJ,Universidade Federal do Estado do Rio de Janeiro,2
84,AC,Colégio de Aplicação da Universidade Federal do Acre,2
85,TO,Universidade de Guripi,2
86,PR,Instituto Federal do Paraná,2
87,GO,Instituto Federal de Goiás,2
88,PA,Universidade Federal do Sul e Sudeste do Pará,2
89,PB,Universidade Federal de Campina Grande,2
90,PI,Universidade Federal do Delta do Parnaíba,2
91,PE,Universidade Federal do Agreste de Pernambuco,2
92,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,2
93,MA,Universidade Estadual do Maranhão,1
94,SP,Universidade Nove de Julho,1
95,CE,Instituto Federal do Ceará,1
96,ES,Associação Brasileira de Odontologia do Espírito Santo,1
97,ES,Faculdade de Música do Espírito Santo,1
98,TO,Universidade Federal do Norte de Tocantins,1
99,SP,Rede Municipal de Diadema,1
100,SP,Faculdade de Medicina de Jundiaí,1
101,MA,Universidade Estadual da Região Tocantina do Maranhão,1
102,RJ,Secretaria de Estado de Educação do Rio de Janeiro,1
103,MG,Instituto Federal do Sudeste Mineiro,1
104,RS,Universidade de Santa Cruz do Sul,1
105,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,1
106,RS,Universidade Federal do Pampa,1
107,MG,Universidade Federal de Itajubá,1
108,MG,Universidade Federal do Triângulo Mineiro,1
109,PA,Instituto Federal do Pará Campus Castanhal,1
110,RO,Instituto Federal de Rondônia,1
111,PR,Instituto Federal do Paraná Campus Cascavel,1
112,RN,Universidade Federal Rural do Semi-Árido,1
113,RJ,Colégio de Aplicação da Universidade do Estado do Rio de Janeiro,1
114,MG,Universidade Estadual de Montes Claros,1
