,UF,Instituição de Ensino,Contagem,Proporção
0,SP,Universidade Federal do ABC,29,4.42%
1,RJ,Universidade do Estado do Rio de Janeiro,26,3.96%
2,SP,Universidade Estadual de Campinas,25,3.81%
3,ES,Universidade Federal do Espírito Santo,23,3.51%
4,PE,Universidade Federal do Vale do São Francisco,21,3.2%
5,PE,Universidade Federal Rural de Pernambuco,20,3.05%
6,BA,Universidade do Estado da Bahia,19,2.9%
7,RS,Universidade Federal de Pelotas,19,2.9%
8,PR,Universidade Estadual de Londrina,19,2.9%
9,RS,Universidade Federal do Rio Grande do Sul,18,2.74%
10,BA,Universidade Estadual de Feira de Santana,16,2.44%
11,BA,Universidade Federal do Sul da Bahia,16,2.44%
12,PR,Universidade Estadual do Paraná,15,2.29%
13,CE,Universidade Estadual do Ceará,14,2.13%
14,MT,Universidade Federal do Mato Grosso,14,2.13%
15,MT,Universidade do Estado de Mato Grosso,13,1.98%
16,MA,Universidade Federal do Maranhão,13,1.98%
17,RJ,Universidade Federal do Rio de Janeiro,12,1.83%
18,RO,Universidade Federal de Rondônia,12,1.83%
19,DF,Universidade do Distrito Federal,11,1.68%
20,PR,Universidade Estadual do Oeste do Paraná,11,1.68%
21,AM,Universidade Federal do Amazonas,10,1.52%
22,DF,Universidade de Brasília,10,1.52%
23,MG,Centro Federal de Educação Tecnológica de Minas Gerais,10,1.52%
24,PI,Universidade Federal do Piauí,10,1.52%
25,BA,Universidade Estadual de Santa Cruz,10,1.52%
26,PA,Universidade do Estado do Pará,10,1.52%
27,RJ,Universidade Estadual do Norte Fluminense,9,1.37%
28,MS,Universidade Estadual de Mato Grosso do Sul,9,1.37%
29,SP,Universidade de São Paulo,9,1.37%
30,MG,Universidade Federal de Uberlândia,8,1.22%
31,MG,Universidade Federal de Viçosa,8,1.22%
32,AL,Universidade Federal de Alagoas,7,1.07%
33,PA,Universidade Federal Rural da Amazônia,7,1.07%
34,PR,Universidade Federal do Paraná,7,1.07%
35,PR,Universidade Estadual de Maringá,7,1.07%
36,MT,Universidade Federal de Rondonópolis,6,0.91%
37,AC,Universidade Federal do Acre,6,0.91%
38,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",6,0.91%
39,BA,Universidade Estadual do Sudoeste da Bahia,6,0.91%
40,SC,Universidade do Estado de Santa Catarina,6,0.91%
41,CE,Universidade Federal do Ceará,6,0.91%
42,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,5,0.76%
43,PB,Universidade Federal de Campina Grande,5,0.76%
44,PE,Universidade de Pernambuco,5,0.76%
45,MG,Universidade Federal de Lavras,5,0.76%
46,CE,Universidade Regional do Cariri,5,0.76%
47,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",4,0.61%
48,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,4,0.61%
49,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,4,0.61%
50,MG,Universidade Federal de Juiz de Fora,4,0.61%
51,SP,Universidade Federal de São Carlos,4,0.61%
52,RS,Instituto Federal do Rio Grande do Sul,4,0.61%
53,PR,Universidade Estadual de Ponta Grossa,3,0.46%
54,PR,Universidade Tecnológica Federal do Paraná,3,0.46%
55,PR,Universidade Estadual do Norte do Paraná,3,0.46%
56,BA,Universidade Federal do Recôncavo da Bahia,3,0.46%
57,PE,Universidade Federal de Pernambuco,3,0.46%
58,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,3,0.46%
59,SE,Universidade Federal de Sergipe,3,0.46%
60,GO,Universidade Estadual de Goiás,3,0.46%
61,SC,Universidade Federal da Fronteira Sul,3,0.46%
62,MG,Universidade Federal de Ouro Preto,3,0.46%
63,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,2,0.3%
64,RS,Universidade Federal de Santa Maria,2,0.3%
65,RN,Universidade Federal Rural do Semi-Árido,2,0.3%
66,PB,Universidade Estadual da Paraíba,2,0.3%
67,PR,Universidade Federal da Integração Latino-Americana,2,0.3%
68,PA,Universidade Federal do Oeste do Pará,2,0.3%
69,AP,Universidade Estado do Amapá,2,0.3%
70,AP,Universidade Federal do Amapá,2,0.3%
71,PR,Universidade Estadual do Centro-Oeste,2,0.3%
72,MG,Universidade do Estado de Minas Gerais,2,0.3%
73,TO,Universidade de Guripi,2,0.3%
74,PA,Universidade Federal do Pará,2,0.3%
75,GO,Instituto Federal de Goiás Campus Goiânia Oeste,1,0.15%
76,PI,Universidade Federal do Delta do Parnaíba,1,0.15%
77,PI,Universidade Estadual do Piauí,1,0.15%
78,SP,Universidade Federal de São Paulo,1,0.15%
79,BA,Ceep em Biotecnologia e Saúde,1,0.15%
80,BA,Universidade Federal da Bahia,1,0.15%
81,SP,Universidade Estadual Paulista,1,0.15%
82,SP,Instituto Federal de São Paulo,1,0.15%
83,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,1,0.15%
84,MA,Instituto Federal do Maranhão,1,0.15%
85,MT,Instituto Saberes,1,0.15%
86,MG,Universidade Estadual de Montes Claros,1,0.15%
87,MG,Universidade Federal de Alfenas,1,0.15%
88,PB,Universidade Federal da Paraíba,1,0.15%
89,MG,Universidade Federal do Triângulo Mineiro,1,0.15%
90,PA,Universidade Federal do Sul e Sudeste do Pará,1,0.15%
91,MS,Universidade Federal de Dourados,1,0.15%
92,RS,Eeiem Nhamandu Nhemopu'ã,1,0.15%
93,MT,Instituto Federal do Mato Grosso,1,0.15%
94,RS,Universidade Federal de Rio Grande,1,0.15%
