,uf_instituicao,instituicao,contagem
0,SP,Universidade Estadual de Campinas,115
1,ES,Universidade Federal do Espírito Santo,103
2,RJ,Universidade do Estado do Rio de Janeiro,66
3,MA,Universidade Federal do Maranhão,66
4,PR,Universidade Estadual de Londrina,62
5,PE,Universidade Federal do Vale do São Francisco,61
6,SP,Universidade Federal do ABC,59
7,BA,Universidade Estadual de Santa Cruz,53
8,BA,Universidade do Estado da Bahia,49
9,RS,Universidade Federal do Rio Grande do Sul,47
10,CE,Universidade Estadual do Ceará,46
11,PR,Universidade Estadual do Oeste do Paraná,44
12,RJ,Universidade Estadual do Norte Fluminense,43
13,PE,Universidade Federal Rural de Pernambuco,40
14,MG,Centro Federal de Educação Tecnológica de Minas Gerais,39
15,MT,Universidade do Estado de Mato Grosso,37
16,BA,Universidade Estadual de Feira de Santana,36
17,RS,Universidade Federal de Pelotas,36
18,PR,Universidade Estadual de Maringá,36
19,BA,Universidade Federal do Sul da Bahia,35
20,AM,Universidade Federal do Amazonas,33
21,AC,Universidade Federal do Acre,32
22,PR,Universidade Tecnológica Federal do Paraná,32
23,RJ,Universidade Federal do Rio de Janeiro,31
24,PI,Universidade Federal do Piauí,30
25,PR,Universidade Estadual do Paraná,29
26,MT,Universidade Federal do Mato Grosso,27
27,PR,Universidade Federal da Integração Latino-Americana,26
28,RO,Universidade Federal de Rondônia,26
29,DF,Universidade de Brasília,26
30,MG,Universidade Federal de Viçosa,25
31,AL,Universidade Federal de Alagoas,24
32,PA,Universidade do Estado do Pará,24
33,SP,Universidade de São Paulo,23
34,MG,Universidade Federal de Uberlândia,21
35,CE,Universidade Federal do Ceará,21
36,PR,Universidade Estadual de Ponta Grossa,21
37,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,20
38,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,20
39,SC,Universidade do Estado de Santa Catarina,19
40,MG,Universidade Federal de Lavras,18
41,BA,Universidade Estadual do Sudoeste da Bahia,17
42,PR,Universidade Federal do Paraná,16
43,MT,Universidade Federal de Rondonópolis,16
44,GO,Universidade Estadual de Goiás,16
45,PB,Universidade Estadual da Paraíba,15
46,PA,Universidade Federal Rural da Amazônia,15
47,SE,Universidade Federal de Sergipe,15
48,CE,Universidade Regional do Cariri,14
49,PA,Universidade Federal do Oeste do Pará,13
50,PE,Universidade de Pernambuco,13
51,SP,Universidade Federal de São Carlos,11
52,RJ,Universidade Federal Fluminense,11
53,AP,Universidade Federal do Amapá,10
54,DF,Universidade do Distrito Federal,10
55,RR,Universidade Federal de Roraima,10
56,PI,Universidade Estadual do Piauí,10
57,PR,Universidade Estadual do Norte do Paraná,9
58,MS,Universidade Estadual de Mato Grosso do Sul,9
59,PB,Universidade Federal da Paraíba,9
60,RS,Universidade Federal de Rio Grande,9
61,PA,Universidade Federal do Pará,8
62,MS,Universidade Federal de Dourados,8
63,MG,Universidade Federal de Ouro Preto,8
64,RS,Universidade Federal de Santa Maria,7
65,BA,Universidade Federal do Recôncavo da Bahia,7
66,MG,Universidade Federal de São João del Rei,6
67,BA,Universidade Federal da Bahia,6
68,RS,Instituto Federal do Rio Grande do Sul,6
69,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,6
70,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",6
71,RN,Universidade Federal do Rio Grande do Norte,5
72,SC,Universidade Federal da Fronteira Sul,5
73,PE,Universidade Federal de Pernambuco,5
74,PR,Universidade Estadual do Centro-Oeste,5
75,RR,Universidade Estadual de Roraima,5
76,SP,Universidade Federal de São Paulo,4
77,MG,Universidade Federal de Juiz de Fora,3
78,MG,Universidade do Estado de Minas Gerais,3
79,RJ,Universidade do Rio de Janeiro,2
80,AC,Colégio de Aplicação da Universidade Federal do Acre,2
81,PE,Universidade Federal do Agreste de Pernambuco,2
82,TO,Universidade de Guripi,2
83,PR,Instituto Federal do Paraná,2
84,GO,Instituto Federal de Goiás,2
85,PA,Universidade Federal do Sul e Sudeste do Pará,2
86,PB,Universidade Federal de Campina Grande,2
87,PI,Universidade Federal do Delta do Parnaíba,2
88,BA,Universidade Federal do Oeste da Bahia,2
89,ES,Associação Brasileira de Odontologia do Espírito Santo,1
90,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,1
91,MG,Instituto Federal do Sudeste Mineiro,1
92,SP,Universidade Nove de Julho,1
93,ES,Faculdade de Música do Espírito Santo,1
94,TO,Universidade Federal do Norte de Tocantins,1
95,SP,Rede Municipal de Diadema,1
96,SP,Faculdade de Medicina de Jundiaí,1
97,MA,Universidade Estadual da Região Tocantina do Maranhão,1
98,MA,Universidade Estadual do Maranhão,1
99,RJ,Universidade Federal do Estado do Rio de Janeiro,1
100,RS,Universidade de Santa Cruz do Sul,1
101,RJ,Secretaria de Estado de Educação do Rio de Janeiro,1
102,RS,Universidade Federal do Pampa,1
103,MG,Universidade Federal de Itajubá,1
104,MG,Universidade Federal do Triângulo Mineiro,1
105,PA,Instituto Federal do Pará Campus Castanhal,1
106,PR,Instituto Federal do Paraná Campus Cascavel,1
107,RO,Instituto Federal de Rondônia,1
108,RJ,Colégio de Aplicação da Universidade do Estado do Rio de Janeiro,1
109,RN,Universidade Federal Rural do Semi-Árido,1
110,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,1
111,MG,Universidade Estadual de Montes Claros,1
