,UF,Instituição de Ensino,Contagem,Proporção
0,RJ,Universidade do Estado do Rio de Janeiro,56,4.36%
1,PR,Universidade Estadual de Londrina,50,3.89%
2,PE,Universidade Federal do Vale do São Francisco,50,3.89%
3,RJ,Universidade Estadual do Norte Fluminense,42,3.27%
4,PR,Universidade Estadual do Oeste do Paraná,42,3.27%
5,SP,Universidade Federal do ABC,38,2.96%
6,BA,Universidade Estadual de Santa Cruz,38,2.96%
7,CE,Universidade Estadual do Ceará,37,2.88%
8,RS,Universidade Federal de Pelotas,35,2.73%
9,BA,Universidade Federal do Sul da Bahia,34,2.65%
10,SP,Universidade Estadual de Campinas,34,2.65%
11,PE,Universidade Federal Rural de Pernambuco,30,2.34%
12,PR,Universidade Estadual de Maringá,28,2.18%
13,RJ,Universidade Federal do Rio de Janeiro,28,2.18%
14,PI,Universidade Federal do Piauí,27,2.1%
15,RO,Universidade Federal de Rondônia,26,2.02%
16,MT,Universidade do Estado de Mato Grosso,26,2.02%
17,MT,Universidade Federal do Mato Grosso,24,1.87%
18,MG,Universidade Federal de Viçosa,24,1.87%
19,PR,Universidade Estadual do Paraná,23,1.79%
20,AL,Universidade Federal de Alagoas,23,1.79%
21,BA,Universidade Estadual de Feira de Santana,23,1.79%
22,PR,Universidade Tecnológica Federal do Paraná,21,1.64%
23,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,20,1.56%
24,CE,Universidade Federal do Ceará,19,1.48%
25,MA,Universidade Federal do Maranhão,18,1.4%
26,AM,Universidade Federal do Amazonas,18,1.4%
27,SC,Universidade do Estado de Santa Catarina,17,1.32%
28,ES,Universidade Federal do Espírito Santo,17,1.32%
29,AC,Universidade Federal do Acre,16,1.25%
30,PR,Universidade Estadual de Ponta Grossa,16,1.25%
31,MG,Universidade Federal de Lavras,15,1.17%
32,MT,Universidade Federal de Rondonópolis,15,1.17%
33,MG,Universidade Federal de Uberlândia,15,1.17%
34,PA,Universidade do Estado do Pará,14,1.09%
35,SP,Universidade de São Paulo,14,1.09%
36,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,13,1.01%
37,CE,Universidade Regional do Cariri,13,1.01%
38,SE,Universidade Federal de Sergipe,13,1.01%
39,PR,Universidade Federal do Paraná,13,1.01%
40,PA,Universidade Federal do Oeste do Pará,13,1.01%
41,PE,Universidade de Pernambuco,12,0.93%
42,RJ,Universidade Federal Fluminense,11,0.86%
43,RR,Universidade Federal de Roraima,10,0.78%
44,BA,Universidade do Estado da Bahia,9,0.7%
