,uf_instituicao,instituicao,contagem
0,ES,Universidade Federal do Espírito Santo,30
1,AM,Universidade Federal do Amazonas,4
2,PR,Universidade Estadual de Maringá,4
3,PE,Universidade Federal Rural de Pernambuco,4
4,RS,Universidade Federal de Pelotas,4
5,MS,Universidade Estadual de Mato Grosso do Sul,3
6,RJ,Universidade do Estado do Rio de Janeiro,3
7,CE,Universidade Estadual Vale do Acaraú,3
8,PB,Universidade Federal da Paraíba,3
9,MT,Universidade do Estado de Mato Grosso,3
10,MT,Universidade Federal do Mato Grosso,2
11,PR,Universidade Estadual do Oeste do Paraná,2
12,PR,Universidade Estadual de Londrina,2
13,AL,Universidade Federal de Alagoas,2
14,RS,Universidade Federal de Rio Grande,2
15,RS,Universidade Federal do Rio Grande do Sul,2
16,SE,Universidade Federal de Sergipe,2
17,SP,Universidade Estadual de Campinas,2
18,SP,Universidade de São Paulo,2
19,BA,Universidade Estadual de Feira de Santana,2
20,RJ,Universidade Estadual do Norte Fluminense,1
21,SC,Universidade do Estado de Santa Catarina,1
22,RO,Universidade Federal de Rondônia,1
23,RJ,Universidade Federal do Rio de Janeiro,1
24,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",1
25,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1
26,PR,Universidade Tecnológica Federal do Paraná,1
27,PR,Universidade Federal da Integração Latino-Americana,1
28,AM,Universidade Estadual do Amazonas,1
29,PA,Universidade Federal do Pará,1
30,MG,Universidade Federal de Uberlândia,1
31,MG,Centro Federal de Educação Tecnológica de Minas Gerais,1
32,CE,Universidade Federal do Ceará,1
33,CE,Universidade Estadual do Ceará,1
34,BA,Universidade do Estado da Bahia,1
35,BA,Universidade Estadual de Santa Cruz,1
36,TO,Universidade de Guripi,1
