,UF,Instituição de Ensino,Contagem,Proporção
0,ES,Universidade Federal do Espírito Santo,44,28.76%
1,SP,Universidade Estadual de Campinas,8,5.23%
2,PB,Universidade Estadual da Paraíba,7,4.58%
3,MT,Universidade Federal do Mato Grosso,5,3.27%
4,MG,Centro Federal de Educação Tecnológica de Minas Gerais,5,3.27%
5,AM,Universidade Federal do Amazonas,4,2.61%
6,PE,Universidade Federal Rural de Pernambuco,4,2.61%
7,RS,Universidade Federal de Pelotas,4,2.61%
8,MT,Universidade do Estado de Mato Grosso,4,2.61%
9,MG,Universidade Federal de Uberlândia,4,2.61%
10,MA,Universidade Federal do Maranhão,4,2.61%
11,PR,Universidade Estadual de Maringá,4,2.61%
12,BA,Universidade do Estado da Bahia,4,2.61%
13,SE,Universidade Federal de Sergipe,3,1.96%
14,CE,Universidade Estadual Vale do Acaraú,3,1.96%
15,MS,Universidade Estadual de Mato Grosso do Sul,3,1.96%
16,RJ,Universidade do Estado do Rio de Janeiro,3,1.96%
17,SP,Universidade de São Paulo,3,1.96%
18,PB,Universidade Federal da Paraíba,3,1.96%
19,PR,Universidade Estadual do Oeste do Paraná,2,1.31%
20,PR,Universidade Estadual de Londrina,2,1.31%
21,PR,Universidade Federal da Integração Latino-Americana,2,1.31%
22,AL,Universidade Federal de Alagoas,2,1.31%
23,RS,Universidade Federal de Rio Grande,2,1.31%
24,RS,Universidade Federal do Rio Grande do Sul,2,1.31%
25,GO,Universidade Estadual de Goiás,2,1.31%
26,BA,Universidade Estadual do Sudoeste da Bahia,2,1.31%
27,BA,Universidade Estadual de Feira de Santana,2,1.31%
28,RJ,Universidade Estadual do Norte Fluminense,1,0.65%
29,SC,Universidade do Estado de Santa Catarina,1,0.65%
30,RO,Universidade Federal de Rondônia,1,0.65%
31,RJ,Universidade Federal do Rio de Janeiro,1,0.65%
32,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,1,0.65%
33,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1,0.65%
34,PR,Universidade Tecnológica Federal do Paraná,1,0.65%
35,PR,Universidade Estadual do Paraná,1,0.65%
36,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",1,0.65%
37,PA,Universidade Federal do Pará,1,0.65%
38,PA,Universidade Federal do Oeste do Pará,1,0.65%
39,CE,Universidade Federal do Ceará,1,0.65%
40,CE,Universidade Estadual do Ceará,1,0.65%
41,BA,Universidade Estadual de Santa Cruz,1,0.65%
42,AP,Universidade Federal do Amapá,1,0.65%
43,TO,Universidade de Guripi,1,0.65%
