,UF,Instituição de Ensino,Contagem,Proporção
0,ES,Universidade Federal do Espírito Santo,27,34.62%
1,SP,Universidade Estadual de Campinas,7,8.97%
2,MS,Universidade Estadual de Mato Grosso do Sul,4,5.13%
3,MG,Universidade Federal de Viçosa,3,3.85%
4,MA,Universidade Federal do Maranhão,3,3.85%
5,DF,Universidade de Brasília,3,3.85%
6,MT,Universidade do Estado de Mato Grosso,2,2.56%
7,MT,Universidade Federal do Mato Grosso,2,2.56%
8,GO,Universidade Estadual de Goiás,2,2.56%
9,BA,Universidade do Estado da Bahia,2,2.56%
10,RS,Universidade Federal do Rio Grande do Sul,2,2.56%
11,PR,Universidade Estadual de Maringá,2,2.56%
12,RR,Universidade Federal de Roraima,1,1.28%
13,PR,Universidade Estadual do Oeste do Paraná,1,1.28%
14,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",1,1.28%
15,RS,Universidade Federal de Santa Maria,1,1.28%
16,RO,Universidade Federal de Rondônia,1,1.28%
17,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1,1.28%
18,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,1,1.28%
19,PR,Universidade Federal do Paraná,1,1.28%
20,AC,Universidade Federal do Acre,1,1.28%
21,PR,Universidade Estadual de Londrina,1,1.28%
22,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,1,1.28%
23,PB,Universidade Estadual da Paraíba,1,1.28%
24,AM,Universidade Federal do Amazonas,1,1.28%
25,ES,Faculdade de Música do Espírito Santo,1,1.28%
26,CE,Universidade Federal do Ceará,1,1.28%
27,CE,Universidade Estadual Vale do Acaraú,1,1.28%
28,BA,Universidade Federal do Sul da Bahia,1,1.28%
29,BA,Universidade Federal do Oeste da Bahia,1,1.28%
30,SP,Universidade Federal do ABC,1,1.28%
