,UF,Instituição de Ensino,Contagem,Proporção
89,PI,Universidade Federal do Delta do Parnaíba,1,0.12%
90,RS,Universidade Federal de Rio Grande,1,0.12%
91,MG,Universidade Federal do Triângulo Mineiro,1,0.12%
92,MS,Universidade Federal de Dourados,1,0.12%
93,RS,Eeiem Nhamandu Nhemopu'ã,1,0.12%
94,MT,Instituto Federal do Mato Grosso,1,0.12%
95,MT,Instituto Saberes,1,0.12%
96,RJ,Universidade Federal Rural do Rio de Janeiro,1,0.12%
97,RJ,Universidade Federal Fluminense,1,0.12%
98,PI,Universidade Estadual do Piauí,1,0.12%
99,PB,Universidade Federal da Paraíba,1,0.12%
