,UF,Instituição de Ensino,Contagem,Proporção
0,SP,Universidade Estadual de Campinas,49,5.98%
1,ES,Universidade Federal do Espírito Santo,33,4.02%
2,MA,Universidade Federal do Maranhão,31,3.78%
3,BA,Universidade do Estado da Bahia,31,3.78%
4,SP,Universidade Federal do ABC,30,3.66%
5,RJ,Universidade do Estado do Rio de Janeiro,26,3.17%
6,PR,Universidade Estadual de Londrina,24,2.93%
7,MG,Centro Federal de Educação Tecnológica de Minas Gerais,21,2.56%
8,PE,Universidade Federal do Vale do São Francisco,21,2.56%
9,RS,Universidade Federal de Pelotas,20,2.44%
10,PE,Universidade Federal Rural de Pernambuco,20,2.44%
11,RS,Universidade Federal do Rio Grande do Sul,18,2.2%
12,BA,Universidade Federal do Sul da Bahia,18,2.2%
13,BA,Universidade Estadual de Feira de Santana,17,2.07%
14,PR,Universidade Estadual do Paraná,17,2.07%
15,MT,Universidade Federal do Mato Grosso,16,1.95%
16,BA,Universidade Estadual de Santa Cruz,16,1.95%
17,CE,Universidade Estadual do Ceará,15,1.83%
18,MT,Universidade do Estado de Mato Grosso,15,1.83%
19,PR,Universidade Estadual do Oeste do Paraná,13,1.59%
20,RJ,Universidade Federal do Rio de Janeiro,12,1.46%
21,PA,Universidade do Estado do Pará,12,1.46%
22,AC,Universidade Federal do Acre,12,1.46%
23,RO,Universidade Federal de Rondônia,12,1.46%
24,PR,Universidade Federal da Integração Latino-Americana,11,1.34%
25,DF,Universidade do Distrito Federal,11,1.34%
26,AM,Universidade Federal do Amazonas,11,1.34%
27,BA,Universidade Estadual do Sudoeste da Bahia,10,1.22%
28,PI,Universidade Federal do Piauí,10,1.22%
29,DF,Universidade de Brasília,10,1.22%
30,SP,Universidade de São Paulo,10,1.22%
31,MG,Universidade Federal de Uberlândia,10,1.22%
32,RJ,Universidade Estadual do Norte Fluminense,9,1.1%
33,MS,Universidade Estadual de Mato Grosso do Sul,9,1.1%
34,MG,Universidade Federal de Viçosa,8,0.98%
35,PA,Universidade Federal Rural da Amazônia,8,0.98%
36,PR,Universidade Estadual de Maringá,7,0.85%
37,AL,Universidade Federal de Alagoas,7,0.85%
38,PR,Universidade Federal do Paraná,7,0.85%
39,PR,Universidade Tecnológica Federal do Paraná,7,0.85%
40,SE,Universidade Federal de Sergipe,7,0.85%
41,GO,Universidade Estadual de Goiás,7,0.85%
42,SC,Universidade do Estado de Santa Catarina,7,0.85%
43,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,6,0.73%
44,MG,Universidade Federal de Ouro Preto,6,0.73%
45,MT,Universidade Federal de Rondonópolis,6,0.73%
46,CE,Universidade Federal do Ceará,6,0.73%
47,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,6,0.73%
48,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",6,0.73%
49,PE,Universidade de Pernambuco,5,0.61%
50,PB,Universidade Estadual da Paraíba,5,0.61%
51,PB,Universidade Federal de Campina Grande,5,0.61%
52,CE,Universidade Regional do Cariri,5,0.61%
53,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,5,0.61%
54,MG,Universidade Federal de Lavras,5,0.61%
55,PR,Universidade Estadual de Ponta Grossa,4,0.49%
56,RS,Instituto Federal do Rio Grande do Sul,4,0.49%
57,SP,Universidade Federal de São Carlos,4,0.49%
58,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",4,0.49%
59,SC,Universidade Federal da Fronteira Sul,4,0.49%
60,PR,Universidade Estadual do Norte do Paraná,4,0.49%
61,MG,Universidade Federal de Juiz de Fora,4,0.49%
62,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,4,0.49%
63,SP,Universidade Federal de São Paulo,3,0.37%
64,BA,Universidade Federal do Recôncavo da Bahia,3,0.37%
65,MA,Universidade Estadual do Maranhão,3,0.37%
66,PE,Universidade Federal de Pernambuco,3,0.37%
67,PA,Universidade Federal do Pará,3,0.37%
68,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,2,0.24%
69,RS,Universidade Federal de Santa Maria,2,0.24%
70,RN,Universidade Federal Rural do Semi-Árido,2,0.24%
71,TO,Universidade de Guripi,2,0.24%
72,PR,Universidade Estadual do Centro-Oeste,2,0.24%
73,AP,Universidade Estado do Amapá,2,0.24%
74,AP,Universidade Federal do Amapá,2,0.24%
75,PA,Universidade Federal do Sul e Sudeste do Pará,2,0.24%
76,PA,Universidade Federal do Oeste do Pará,2,0.24%
77,MG,Universidade do Estado de Minas Gerais,2,0.24%
78,MG,Universidade Estadual de Montes Claros,1,0.12%
79,BA,Ceep em Biotecnologia e Saúde,1,0.12%
80,BA,Universidade Federal da Bahia,1,0.12%
81,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,1,0.12%
82,SP,Universidade Estadual Paulista,1,0.12%
83,SP,Instituto Federal de São Paulo,1,0.12%
84,SP,Colégio Técnico de Campinas,1,0.12%
85,GO,Instituto Federal de Goiás Campus Goiânia Oeste,1,0.12%
86,MA,Instituto Federal do Maranhão,1,0.12%
87,MG,Universidade Federal de São João del Rei,1,0.12%
88,MG,Universidade Federal de Alfenas,1,0.12%
