,uf_instituicao,instituicao,contagem
0,ES,Universidade Federal do Espírito Santo,10
1,MS,Universidade Estadual de Mato Grosso do Sul,7
2,PR,Universidade Estadual de Maringá,6
3,MT,Universidade do Estado de Mato Grosso,5
4,MT,Universidade Federal do Mato Grosso,4
5,AM,Universidade Federal do Amazonas,4
6,RS,Universidade Federal de Pelotas,4
7,PR,Universidade Estadual do Oeste do Paraná,3
8,RJ,Universidade do Estado do Rio de Janeiro,3
9,CE,Universidade Estadual Vale do Acaraú,3
10,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,2
11,RS,Universidade Federal de Rio Grande,2
12,SE,Universidade Federal de Sergipe,2
13,PR,Universidade Estadual de Londrina,2
14,PB,Universidade Federal da Paraíba,2
15,SP,Universidade de São Paulo,2
16,AL,Universidade Federal de Alagoas,2
17,PE,Universidade Federal Rural de Pernambuco,2
18,BA,Universidade do Estado da Bahia,2
19,PA,Universidade Federal do Pará,1
20,MG,Universidade Federal de Uberlândia,1
21,BA,Universidade Estadual de Feira de Santana,1
22,SP,Universidade Federal do ABC,1
23,BA,Universidade Federal do Oeste da Bahia,1
24,SC,Universidade do Estado de Santa Catarina,1
25,RS,Universidade Federal do Rio Grande do Sul,1
26,BA,Universidade Federal do Sul da Bahia,1
27,RR,Universidade Federal de Roraima,1
28,RO,Universidade Federal de Rondônia,1
29,CE,Universidade Estadual do Ceará,1
30,RJ,Universidade Federal do Rio de Janeiro,1
31,RJ,Universidade Estadual do Norte Fluminense,1
32,CE,Universidade Federal do Ceará,1
33,PR,Universidade Tecnológica Federal do Paraná,1
34,PR,Universidade Federal da Integração Latino-Americana,1
35,DF,Universidade de Brasília,1
36,MA,Universidade Federal do Maranhão,1
37,MG,Centro Federal de Educação Tecnológica de Minas Gerais,1
38,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",1
39,AM,Universidade Estadual do Amazonas,1
40,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,1
41,TO,Universidade de Guripi,1
