,uf_instituicao,instituicao,contagem
0,ES,Universidade Federal do Espírito Santo,89
1,SP,Universidade Estadual de Campinas,85
2,RJ,Universidade do Estado do Rio de Janeiro,66
3,PE,Universidade Federal do Vale do São Francisco,61
4,SP,Universidade Federal do ABC,58
5,MA,Universidade Federal do Maranhão,53
6,PR,Universidade Estadual de Londrina,52
7,RS,Universidade Federal do Rio Grande do Sul,46
8,BA,Universidade do Estado da Bahia,46
9,RJ,Universidade Estadual do Norte Fluminense,42
10,PR,Universidade Estadual do Oeste do Paraná,42
11,BA,Universidade Estadual de Santa Cruz,41
12,PE,Universidade Federal Rural de Pernambuco,40
13,CE,Universidade Estadual do Ceará,40
14,BA,Universidade Estadual de Feira de Santana,36
15,MT,Universidade do Estado de Mato Grosso,36
16,RS,Universidade Federal de Pelotas,35
17,BA,Universidade Federal do Sul da Bahia,35
18,MG,Centro Federal de Educação Tecnológica de Minas Gerais,33
19,AM,Universidade Federal do Amazonas,32
20,RJ,Universidade Federal do Rio de Janeiro,30
21,PI,Universidade Federal do Piauí,29
22,PR,Universidade Estadual de Maringá,29
23,RO,Universidade Federal de Rondônia,26
24,MT,Universidade Federal do Mato Grosso,26
25,DF,Universidade de Brasília,26
26,MG,Universidade Federal de Viçosa,25
27,AL,Universidade Federal de Alagoas,24
28,PR,Universidade Tecnológica Federal do Paraná,23
29,PA,Universidade do Estado do Pará,23
30,PR,Universidade Estadual do Paraná,23
31,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,20
32,SC,Universidade do Estado de Santa Catarina,19
33,CE,Universidade Federal do Ceará,19
34,AC,Universidade Federal do Acre,17
35,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,16
36,MG,Universidade Federal de Lavras,16
37,PR,Universidade Estadual de Ponta Grossa,16
38,SP,Universidade de São Paulo,15
39,MT,Universidade Federal de Rondonópolis,15
40,MG,Universidade Federal de Uberlândia,15
41,PR,Universidade Federal do Paraná,15
42,CE,Universidade Regional do Cariri,14
43,SE,Universidade Federal de Sergipe,13
44,PE,Universidade de Pernambuco,13
45,PA,Universidade Federal do Oeste do Pará,13
46,RJ,Universidade Federal Fluminense,11
47,AP,Universidade Federal do Amapá,10
48,PI,Universidade Estadual do Piauí,10
49,SP,Universidade Federal de São Carlos,10
50,RR,Universidade Federal de Roraima,10
51,BA,Universidade Estadual do Sudoeste da Bahia,10
52,DF,Universidade do Distrito Federal,10
53,MS,Universidade Estadual de Mato Grosso do Sul,9
54,PB,Universidade Federal da Paraíba,8
55,MS,Universidade Federal de Dourados,8
56,PR,Universidade Estadual do Norte do Paraná,8
57,PR,Universidade Federal da Integração Latino-Americana,7
58,PA,Universidade Federal do Pará,7
59,PA,Universidade Federal Rural da Amazônia,7
60,PB,Universidade Estadual da Paraíba,6
61,BA,Universidade Federal do Recôncavo da Bahia,6
62,RS,Instituto Federal do Rio Grande do Sul,6
63,RR,Universidade Estadual de Roraima,5
64,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,5
65,SC,Universidade Federal da Fronteira Sul,5
66,PE,Universidade Federal de Pernambuco,5
67,PR,Universidade Estadual do Centro-Oeste,5
68,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",5
69,RN,Universidade Federal do Rio Grande do Norte,5
70,RS,Universidade Federal de Rio Grande,4
71,MG,Universidade Federal de Ouro Preto,4
72,RS,Universidade Federal de Santa Maria,4
73,GO,Universidade Estadual de Goiás,4
74,MG,Universidade Federal de São João del Rei,4
75,BA,Universidade Federal da Bahia,3
76,MG,Universidade Federal de Juiz de Fora,3
77,SP,Universidade Federal de São Paulo,3
78,RJ,Universidade do Rio de Janeiro,2
79,AC,Colégio de Aplicação da Universidade Federal do Acre,2
80,TO,Universidade de Guripi,2
81,PI,Universidade Federal do Delta do Parnaíba,2
82,GO,Instituto Federal de Goiás,2
83,MG,Universidade do Estado de Minas Gerais,2
84,PA,Universidade Federal do Sul e Sudeste do Pará,2
85,PE,Universidade Federal do Agreste de Pernambuco,2
86,PB,Universidade Federal de Campina Grande,2
87,PR,Instituto Federal do Paraná,2
88,BA,Universidade Federal do Oeste da Bahia,2
89,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,1
90,MA,Universidade Estadual do Maranhão,1
91,SP,Universidade Nove de Julho,1
92,ES,Associação Brasileira de Odontologia do Espírito Santo,1
93,ES,Faculdade de Música do Espírito Santo,1
94,TO,Universidade Federal do Norte de Tocantins,1
95,SP,Rede Municipal de Diadema,1
96,SP,Faculdade de Medicina de Jundiaí,1
97,MA,Universidade Estadual da Região Tocantina do Maranhão,1
98,RJ,Universidade Federal do Estado do Rio de Janeiro,1
99,MG,Instituto Federal do Sudeste Mineiro,1
100,RS,Universidade de Santa Cruz do Sul,1
101,MG,Universidade Estadual de Montes Claros,1
102,RJ,Secretaria de Estado de Educação do Rio de Janeiro,1
103,MG,Universidade Federal de Itajubá,1
104,MG,Universidade Federal do Triângulo Mineiro,1
105,PA,Instituto Federal do Pará Campus Castanhal,1
106,RO,Instituto Federal de Rondônia,1
107,RN,Universidade Federal Rural do Semi-Árido,1
108,RJ,Colégio de Aplicação da Universidade do Estado do Rio de Janeiro,1
109,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,1
110,RS,Universidade Federal do Pampa,1
