,UF,Instituição de Ensino,Contagem,Proporção
0,ES,Universidade Federal do Espírito Santo,46,27.88%
1,SP,Universidade Estadual de Campinas,9,5.45%
2,PB,Universidade Estadual da Paraíba,7,4.24%
3,BA,Universidade do Estado da Bahia,6,3.64%
4,MG,Centro Federal de Educação Tecnológica de Minas Gerais,6,3.64%
5,MT,Universidade Federal do Mato Grosso,5,3.03%
6,RS,Universidade Federal de Pelotas,4,2.42%
7,PR,Universidade Estadual de Maringá,4,2.42%
8,PE,Universidade Federal Rural de Pernambuco,4,2.42%
9,AM,Universidade Federal do Amazonas,4,2.42%
10,MA,Universidade Federal do Maranhão,4,2.42%
11,MT,Universidade do Estado de Mato Grosso,4,2.42%
12,MG,Universidade Federal de Uberlândia,4,2.42%
13,MS,Universidade Estadual de Mato Grosso do Sul,3,1.82%
14,PR,Universidade Estadual de Londrina,3,1.82%
15,PB,Universidade Federal da Paraíba,3,1.82%
16,RJ,Universidade do Estado do Rio de Janeiro,3,1.82%
17,SE,Universidade Federal de Sergipe,3,1.82%
18,CE,Universidade Estadual Vale do Acaraú,3,1.82%
19,BA,Universidade Estadual de Feira de Santana,3,1.82%
20,SP,Universidade de São Paulo,3,1.82%
21,MG,Universidade Federal de Ouro Preto,2,1.21%
22,RS,Universidade Federal do Rio Grande do Sul,2,1.21%
23,GO,Universidade Estadual de Goiás,2,1.21%
24,RS,Universidade Federal de Rio Grande,2,1.21%
25,BA,Universidade Estadual do Sudoeste da Bahia,2,1.21%
26,PR,Universidade Estadual do Oeste do Paraná,2,1.21%
27,PR,Universidade Federal da Integração Latino-Americana,2,1.21%
28,RO,Universidade Federal de Rondônia,2,1.21%
29,AL,Universidade Federal de Alagoas,2,1.21%
30,RJ,Universidade Federal do Rio de Janeiro,1,0.61%
31,RS,Universidade Federal de Santa Maria,1,0.61%
32,SC,Universidade do Estado de Santa Catarina,1,0.61%
33,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,1,0.61%
34,RJ,Universidade Estadual do Norte Fluminense,1,0.61%
35,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1,0.61%
36,PR,Universidade Tecnológica Federal do Paraná,1,0.61%
37,PR,Universidade Estadual do Paraná,1,0.61%
38,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",1,0.61%
39,PA,Universidade Federal do Pará,1,0.61%
40,PA,Universidade Federal do Oeste do Pará,1,0.61%
41,CE,Universidade Federal do Ceará,1,0.61%
42,CE,Universidade Estadual do Ceará,1,0.61%
43,BA,Universidade Estadual de Santa Cruz,1,0.61%
44,AP,Universidade Federal do Amapá,1,0.61%
45,TO,Universidade de Guripi,1,0.61%
