,UF,Instituição de Ensino,Contagem,Proporção
0,RJ,Universidade do Estado do Rio de Janeiro,77,4.26%
1,PE,Universidade Federal do Vale do São Francisco,70,3.87%
2,PR,Universidade Estadual de Londrina,68,3.76%
3,SP,Universidade Federal do ABC,62,3.43%
4,RS,Universidade Federal de Pelotas,54,2.99%
5,PR,Universidade Estadual do Oeste do Paraná,53,2.93%
6,RJ,Universidade Estadual do Norte Fluminense,51,2.82%
7,CE,Universidade Estadual do Ceará,51,2.82%
8,BA,Universidade Federal do Sul da Bahia,50,2.77%
9,BA,Universidade Estadual de Santa Cruz,48,2.66%
10,SP,Universidade Estadual de Campinas,48,2.66%
11,PE,Universidade Federal Rural de Pernambuco,40,2.21%
12,PR,Universidade Estadual do Paraná,38,2.1%
13,RJ,Universidade Federal do Rio de Janeiro,38,2.1%
14,RO,Universidade Federal de Rondônia,38,2.1%
15,PI,Universidade Federal do Piauí,37,2.05%
16,MT,Universidade do Estado de Mato Grosso,37,2.05%
17,PR,Universidade Estadual de Maringá,35,1.94%
18,MT,Universidade Federal do Mato Grosso,34,1.88%
19,BA,Universidade Estadual de Feira de Santana,33,1.83%
20,MG,Universidade Federal de Viçosa,32,1.77%
21,MA,Universidade Federal do Maranhão,30,1.66%
22,AL,Universidade Federal de Alagoas,30,1.66%
23,CE,Universidade Federal do Ceará,25,1.38%
24,AM,Universidade Federal do Amazonas,25,1.38%
25,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,25,1.38%
26,ES,Universidade Federal do Espírito Santo,25,1.38%
27,PR,Universidade Tecnológica Federal do Paraná,24,1.33%
28,MG,Universidade Federal de Uberlândia,23,1.27%
29,PA,Universidade do Estado do Pará,22,1.22%
30,SP,Universidade de São Paulo,22,1.22%
31,SC,Universidade do Estado de Santa Catarina,22,1.22%
32,AC,Universidade Federal do Acre,22,1.22%
33,MT,Universidade Federal de Rondonópolis,21,1.16%
34,MG,Universidade Federal de Lavras,20,1.11%
35,PR,Universidade Estadual de Ponta Grossa,19,1.05%
36,PR,Universidade Federal do Paraná,18,1.0%
37,CE,Universidade Regional do Cariri,18,1.0%
38,MS,Universidade Estadual de Mato Grosso do Sul,17,0.94%
39,PE,Universidade de Pernambuco,16,0.89%
40,SE,Universidade Federal de Sergipe,16,0.89%
41,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,16,0.89%
42,BA,Universidade do Estado da Bahia,15,0.83%
43,PA,Universidade Federal do Oeste do Pará,15,0.83%
44,BA,Universidade Estadual do Sudoeste da Bahia,14,0.77%
45,PA,Universidade Federal Rural da Amazônia,13,0.72%
46,DF,Universidade de Brasília,13,0.72%
47,SP,Universidade Federal de São Carlos,13,0.72%
48,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",11,0.61%
49,PR,Universidade Estadual do Norte do Paraná,11,0.61%
50,DF,Universidade do Distrito Federal,11,0.61%
51,RJ,Universidade Federal Fluminense,11,0.61%
52,RR,Universidade Federal de Roraima,10,0.55%
53,PA,Universidade Federal do Pará,9,0.5%
54,PR,Universidade Federal da Integração Latino-Americana,8,0.44%
55,RS,Instituto Federal do Rio Grande do Sul,8,0.44%
56,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,8,0.44%
57,SC,Universidade Federal da Fronteira Sul,8,0.44%
58,PI,Universidade Estadual do Piauí,8,0.44%
59,PE,Universidade Federal de Pernambuco,8,0.44%
60,MS,Universidade Federal de Dourados,8,0.44%
61,BA,Universidade Federal do Recôncavo da Bahia,8,0.44%
62,PB,Universidade Federal da Paraíba,8,0.44%
63,MG,Universidade Federal de Juiz de Fora,7,0.39%
64,PB,Universidade Federal de Campina Grande,7,0.39%
65,GO,Universidade Estadual de Goiás,7,0.39%
66,PB,Universidade Estadual da Paraíba,7,0.39%
67,RS,Universidade Federal de Santa Maria,6,0.33%
68,RS,Universidade Federal do Rio Grande do Sul,6,0.33%
69,MG,Universidade Federal de Ouro Preto,6,0.33%
70,RN,Universidade Federal do Rio Grande do Norte,5,0.28%
71,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,4,0.22%
72,MG,Centro Federal de Educação Tecnológica de Minas Gerais,4,0.22%
73,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",4,0.22%
74,RR,Universidade Estadual de Roraima,4,0.22%
