,UF,Instituição de Ensino,Contagem,Proporção
0,SP,Universidade Estadual de Campinas,170,5.45%
1,ES,Universidade Federal do Espírito Santo,154,4.94%
2,MA,Universidade Federal do Maranhão,100,3.21%
3,RJ,Universidade do Estado do Rio de Janeiro,92,2.95%
4,PR,Universidade Estadual de Londrina,90,2.89%
5,SP,Universidade Federal do ABC,89,2.85%
6,BA,Universidade do Estado da Bahia,88,2.82%
7,PE,Universidade Federal do Vale do São Francisco,82,2.63%
8,BA,Universidade Estadual de Santa Cruz,69,2.21%
9,RS,Universidade Federal do Rio Grande do Sul,66,2.12%
10,MG,Centro Federal de Educação Tecnológica de Minas Gerais,62,1.99%
11,CE,Universidade Estadual do Ceará,61,1.96%
12,PE,Universidade Federal Rural de Pernambuco,60,1.92%
13,RJ,Universidade Estadual do Norte Fluminense,59,1.89%
14,PR,Universidade Estadual do Oeste do Paraná,58,1.86%
15,BA,Universidade Estadual de Feira de Santana,57,1.83%
16,RS,Universidade Federal de Pelotas,56,1.8%
17,BA,Universidade Federal do Sul da Bahia,53,1.7%
18,MT,Universidade do Estado de Mato Grosso,52,1.67%
19,PR,Universidade Estadual do Paraná,52,1.67%
20,DF,Universidade de Brasília,51,1.64%
21,AM,Universidade Federal do Amazonas,48,1.54%
22,MG,Universidade Federal de Lavras,46,1.47%
23,RJ,Universidade Federal do Rio de Janeiro,46,1.47%
24,AC,Universidade Federal do Acre,45,1.44%
25,MT,Universidade Federal do Mato Grosso,44,1.41%
26,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",43,1.38%
27,PR,Universidade Estadual de Maringá,43,1.38%
28,PR,Universidade Tecnológica Federal do Paraná,43,1.38%
29,RO,Universidade Federal de Rondônia,42,1.35%
30,PI,Universidade Federal do Piauí,40,1.28%
31,PR,Universidade Federal da Integração Latino-Americana,40,1.28%
32,MG,Universidade Federal de São João del Rei,39,1.25%
33,PA,Universidade do Estado do Pará,38,1.22%
34,MS,Universidade Federal de Dourados,38,1.22%
35,MG,Universidade Federal de Viçosa,37,1.19%
36,RS,Universidade Federal de Santa Maria,34,1.09%
37,BA,Universidade Estadual do Sudoeste da Bahia,34,1.09%
38,SP,Universidade de São Paulo,34,1.09%
39,MG,Universidade Federal de Uberlândia,31,0.99%
40,AL,Universidade Federal de Alagoas,31,0.99%
41,SC,Universidade do Estado de Santa Catarina,29,0.93%
42,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,27,0.87%
43,CE,Universidade Federal do Ceará,27,0.87%
44,MG,Universidade Federal de Ouro Preto,26,0.83%
45,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,25,0.8%
46,PR,Universidade Federal do Paraná,25,0.8%
47,PR,Universidade Estadual de Ponta Grossa,25,0.8%
48,GO,Universidade Estadual de Goiás,24,0.77%
49,PA,Universidade Federal Rural da Amazônia,23,0.74%
50,MT,Universidade Federal de Rondonópolis,22,0.71%
51,SE,Universidade Federal de Sergipe,22,0.71%
52,DF,Universidade do Distrito Federal,21,0.67%
53,PB,Universidade Estadual da Paraíba,21,0.67%
54,CE,Universidade Regional do Cariri,19,0.61%
55,PE,Universidade de Pernambuco,18,0.58%
56,MS,Universidade Estadual de Mato Grosso do Sul,18,0.58%
57,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",16,0.51%
58,PA,Universidade Federal do Oeste do Pará,15,0.48%
59,SP,Universidade Federal de São Carlos,15,0.48%
60,RS,Instituto Federal do Rio Grande do Sul,13,0.42%
61,PR,Universidade Estadual do Norte do Paraná,13,0.42%
62,RJ,Universidade Federal Fluminense,12,0.38%
63,AP,Universidade Federal do Amapá,12,0.38%
64,PI,Universidade Estadual do Piauí,12,0.38%
65,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,12,0.38%
66,PA,Universidade Federal do Pará,11,0.35%
67,BA,Universidade Federal do Recôncavo da Bahia,10,0.32%
68,PB,Universidade Federal da Paraíba,10,0.32%
69,RR,Universidade Federal de Roraima,10,0.32%
70,RS,Universidade Federal de Rio Grande,10,0.32%
71,SP,Universidade Federal de São Paulo,9,0.29%
72,SC,Universidade Federal da Fronteira Sul,9,0.29%
73,PE,Universidade Federal de Pernambuco,8,0.26%
74,MG,Universidade Federal de Juiz de Fora,8,0.26%
75,PB,Universidade Federal de Campina Grande,7,0.22%
76,BA,Universidade Federal do Oeste da Bahia,7,0.22%
77,BA,Universidade Federal da Bahia,7,0.22%
78,PR,Universidade Estadual do Centro-Oeste,7,0.22%
79,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,6,0.19%
80,RN,Universidade Federal do Rio Grande do Norte,5,0.16%
81,MG,Universidade do Estado de Minas Gerais,5,0.16%
