,UF,Instituição de Ensino,Contagem,Proporção
82,RR,Universidade Estadual de Roraima,5,0.16%
83,TO,Universidade de Guripi,4,0.13%
84,MA,Universidade Estadual do Maranhão,4,0.13%
85,PA,Universidade Federal do Sul e Sudeste do Pará,4,0.13%
86,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,3,0.1%
87,PI,Universidade Federal do Delta do Parnaíba,3,0.1%
88,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,3,0.1%
89,GO,Universidade Federal de Catalão,3,0.1%
90,RJ,Universidade Federal do Estado do Rio de Janeiro,3,0.1%
91,RJ,Universidade do Rio de Janeiro,3,0.1%
92,RN,Universidade Federal Rural do Semi-Árido,3,0.1%
93,MG,Universidade Federal do Triângulo Mineiro,2,0.06%
94,AP,Universidade Estado do Amapá,2,0.06%
95,GO,Instituto Federal de Goiás,2,0.06%
96,PR,Instituto Federal do Paraná,2,0.06%
97,MG,Universidade Estadual de Montes Claros,2,0.06%
98,AC,Colégio de Aplicação da Universidade Federal do Acre,2,0.06%
99,PE,Universidade Federal do Agreste de Pernambuco,2,0.06%
100,RJ,Universidade Federal Rural do Rio de Janeiro,2,0.06%
101,ES,Faculdade de Música do Espírito Santo,1,0.03%
102,TO,Universidade Federal do Norte de Tocantins,1,0.03%
103,RJ,Colégio de Aplicação da Universidade do Estado do Rio de Janeiro,1,0.03%
104,SP,Universidade Nove de Julho,1,0.03%
105,BA,Ceep em Biotecnologia e Saúde,1,0.03%
106,CE,Instituto Federal do Ceará,1,0.03%
107,RJ,Secretaria de Estado de Educação do Rio de Janeiro,1,0.03%
108,ES,Associação Brasileira de Odontologia do Espírito Santo,1,0.03%
109,SP,Universidade Estadual Paulista,1,0.03%
110,SP,Rede Municipal de Diadema,1,0.03%
111,SP,Instituto Federal de São Paulo,1,0.03%
112,SP,Faculdade de Medicina de Jundiaí,1,0.03%
113,SP,Colégio Técnico de Campinas,1,0.03%
114,RO,Instituto Federal de Rondônia,1,0.03%
115,MT,Instituto Federal do Mato Grosso,1,0.03%
116,GO,Instituto Federal de Goiás Campus Goiânia Oeste,1,0.03%
117,RS,Universidade de Santa Cruz do Sul,1,0.03%
118,RS,Universidade Federal do Pampa,1,0.03%
119,MA,Instituto Federal do Maranhão,1,0.03%
120,MA,Universidade Estadual da Região Tocantina do Maranhão,1,0.03%
121,PA,Instituto Federal do Pará Campus Castanhal,1,0.03%
122,MG,Instituto Federal do Sudeste Mineiro,1,0.03%
123,MT,Instituto Saberes,1,0.03%
124,RS,Eeiem Nhamandu Nhemopu'ã,1,0.03%
125,MG,Universidade Federal de Alfenas,1,0.03%
126,MG,Universidade Federal de Itajubá,1,0.03%
127,PR,Instituto Federal do Paraná Campus Cascavel,1,0.03%
