,uf_instituicao,instituicao,contagem
0,ES,Universidade Federal do Espírito Santo,45
1,MS,Universidade Estadual de Mato Grosso do Sul,7
2,PR,Universidade Estadual de Maringá,6
3,AM,Universidade Federal do Amazonas,5
4,MT,Universidade do Estado de Mato Grosso,5
5,RS,Universidade Federal de Pelotas,4
6,CE,Universidade Estadual Vale do Acaraú,4
7,PE,Universidade Federal Rural de Pernambuco,4
8,MT,Universidade Federal do Mato Grosso,4
9,RS,Universidade Federal do Rio Grande do Sul,4
10,PR,Universidade Estadual do Oeste do Paraná,3
11,SP,Universidade Estadual de Campinas,3
12,RJ,Universidade do Estado do Rio de Janeiro,3
13,PB,Universidade Federal da Paraíba,3
14,AL,Universidade Federal de Alagoas,2
15,PR,Universidade Estadual de Londrina,2
16,RS,Universidade Federal de Rio Grande,2
17,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,2
18,DF,Universidade de Brasília,2
19,CE,Universidade Federal do Ceará,2
20,SE,Universidade Federal de Sergipe,2
21,BA,Universidade do Estado da Bahia,2
22,SP,Universidade de São Paulo,2
23,BA,Universidade Estadual de Feira de Santana,2
24,SC,Universidade do Estado de Santa Catarina,1
25,RR,Universidade Federal de Roraima,1
26,RO,Universidade Federal de Rondônia,1
27,SP,Universidade Federal do ABC,1
28,RJ,Universidade Federal do Rio de Janeiro,1
29,RJ,Universidade Estadual do Norte Fluminense,1
30,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,1
31,PR,Universidade Tecnológica Federal do Paraná,1
32,PR,Universidade Federal da Integração Latino-Americana,1
33,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",1
34,AM,Universidade Estadual do Amazonas,1
35,PA,Universidade Federal do Pará,1
36,MG,Universidade Federal de Viçosa,1
37,MG,Universidade Federal de Uberlândia,1
38,MG,Centro Federal de Educação Tecnológica de Minas Gerais,1
39,MA,Universidade Federal do Maranhão,1
40,CE,Universidade Estadual do Ceará,1
41,BA,Universidade Federal do Sul da Bahia,1
42,BA,Universidade Federal do Oeste da Bahia,1
43,BA,Universidade Estadual de Santa Cruz,1
44,TO,Universidade de Guripi,1
