,UF,Instituição de Ensino,Contagem,Proporção
37,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,20,1.0%
38,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,20,1.0%
39,SC,Universidade do Estado de Santa Catarina,19,0.95%
40,MG,Universidade Federal de Lavras,18,0.9%
41,BA,Universidade Estadual do Sudoeste da Bahia,17,0.85%
42,PR,Universidade Federal do Paraná,16,0.8%
43,MT,Universidade Federal de Rondonópolis,16,0.8%
44,GO,Universidade Estadual de Goiás,16,0.8%
45,PB,Universidade Estadual da Paraíba,15,0.75%
46,PA,Universidade Federal Rural da Amazônia,15,0.75%
47,SE,Universidade Federal de Sergipe,15,0.75%
48,CE,Universidade Regional do Cariri,14,0.7%
49,PA,Universidade Federal do Oeste do Pará,13,0.65%
50,PE,Universidade de Pernambuco,13,0.65%
51,SP,Universidade Federal de São Carlos,11,0.55%
52,RJ,Universidade Federal Fluminense,11,0.55%
53,AP,Universidade Federal do Amapá,10,0.5%
54,DF,Universidade do Distrito Federal,10,0.5%
55,RR,Universidade Federal de Roraima,10,0.5%
56,PI,Universidade Estadual do Piauí,10,0.5%
57,PR,Universidade Estadual do Norte do Paraná,9,0.45%
58,MS,Universidade Estadual de Mato Grosso do Sul,9,0.45%
59,PB,Universidade Federal da Paraíba,9,0.45%
60,RS,Universidade Federal de Rio Grande,9,0.45%
61,PA,Universidade Federal do Pará,8,0.4%
62,MS,Universidade Federal de Dourados,8,0.4%
63,MG,Universidade Federal de Ouro Preto,8,0.4%
64,RS,Universidade Federal de Santa Maria,7,0.35%
65,BA,Universidade Federal do Recôncavo da Bahia,7,0.35%
66,MG,Universidade Federal de São João del Rei,6,0.3%
67,BA,Universidade Federal da Bahia,6,0.3%
68,RS,Instituto Federal do Rio Grande do Sul,6,0.3%
69,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,6,0.3%
70,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",6,0.3%
71,RN,Universidade Federal do Rio Grande do Norte,5,0.25%
72,SC,Universidade Federal da Fronteira Sul,5,0.25%
73,PE,Universidade Federal de Pernambuco,5,0.25%
74,PR,Universidade Estadual do Centro-Oeste,5,0.25%
75,RR,Universidade Estadual de Roraima,5,0.25%
76,SP,Universidade Federal de São Paulo,4,0.2%
77,MG,Universidade Federal de Juiz de Fora,3,0.15%
78,MG,Universidade do Estado de Minas Gerais,3,0.15%
79,RJ,Universidade do Rio de Janeiro,2,0.1%
80,AC,Colégio de Aplicação da Universidade Federal do Acre,2,0.1%
81,PE,Universidade Federal do Agreste de Pernambuco,2,0.1%
82,TO,Universidade de Guripi,2,0.1%
83,PR,Instituto Federal do Paraná,2,0.1%
84,GO,Instituto Federal de Goiás,2,0.1%
85,PA,Universidade Federal do Sul e Sudeste do Pará,2,0.1%
86,PB,Universidade Federal de Campina Grande,2,0.1%
87,PI,Universidade Federal do Delta do Parnaíba,2,0.1%
88,BA,Universidade Federal do Oeste da Bahia,2,0.1%
89,ES,Associação Brasileira de Odontologia do Espírito Santo,1,0.05%
90,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,1,0.05%
91,MG,Instituto Federal do Sudeste Mineiro,1,0.05%
92,SP,Universidade Nove de Julho,1,0.05%
93,ES,Faculdade de Música do Espírito Santo,1,0.05%
94,TO,Universidade Federal do Norte de Tocantins,1,0.05%
95,SP,Rede Municipal de Diadema,1,0.05%
96,SP,Faculdade de Medicina de Jundiaí,1,0.05%
97,MA,Universidade Estadual da Região Tocantina do Maranhão,1,0.05%
98,MA,Universidade Estadual do Maranhão,1,0.05%
99,RJ,Universidade Federal do Estado do Rio de Janeiro,1,0.05%
100,RS,Universidade de Santa Cruz do Sul,1,0.05%
101,RJ,Secretaria de Estado de Educação do Rio de Janeiro,1,0.05%
102,RS,Universidade Federal do Pampa,1,0.05%
103,MG,Universidade Federal de Itajubá,1,0.05%
104,MG,Universidade Federal do Triângulo Mineiro,1,0.05%
105,PA,Instituto Federal do Pará Campus Castanhal,1,0.05%
106,PR,Instituto Federal do Paraná Campus Cascavel,1,0.05%
107,RO,Instituto Federal de Rondônia,1,0.05%
108,RJ,Colégio de Aplicação da Universidade do Estado do Rio de Janeiro,1,0.05%
109,RN,Universidade Federal Rural do Semi-Árido,1,0.05%
110,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,1,0.05%
111,MG,Universidade Estadual de Montes Claros,1,0.05%
