,UF,Instituição de Ensino,Contagem,Proporção
0,SP,Universidade Estadual de Campinas,115,5.76%
1,ES,Universidade Federal do Espírito Santo,103,5.16%
2,RJ,Universidade do Estado do Rio de Janeiro,66,3.31%
3,MA,Universidade Federal do Maranhão,66,3.31%
4,PR,Universidade Estadual de Londrina,62,3.11%
5,PE,Universidade Federal do Vale do São Francisco,61,3.06%
6,SP,Universidade Federal do ABC,59,2.96%
7,BA,Universidade Estadual de Santa Cruz,53,2.66%
8,BA,Universidade do Estado da Bahia,49,2.46%
9,RS,Universidade Federal do Rio Grande do Sul,47,2.36%
10,CE,Universidade Estadual do Ceará,46,2.31%
11,PR,Universidade Estadual do Oeste do Paraná,44,2.21%
12,RJ,Universidade Estadual do Norte Fluminense,43,2.16%
13,PE,Universidade Federal Rural de Pernambuco,40,2.01%
14,MG,Centro Federal de Educação Tecnológica de Minas Gerais,39,1.95%
15,MT,Universidade do Estado de Mato Grosso,37,1.85%
16,BA,Universidade Estadual de Feira de Santana,36,1.8%
17,RS,Universidade Federal de Pelotas,36,1.8%
18,PR,Universidade Estadual de Maringá,36,1.8%
19,BA,Universidade Federal do Sul da Bahia,35,1.75%
20,AM,Universidade Federal do Amazonas,33,1.65%
21,AC,Universidade Federal do Acre,32,1.6%
22,PR,Universidade Tecnológica Federal do Paraná,32,1.6%
23,RJ,Universidade Federal do Rio de Janeiro,31,1.55%
24,PI,Universidade Federal do Piauí,30,1.5%
25,PR,Universidade Estadual do Paraná,29,1.45%
26,MT,Universidade Federal do Mato Grosso,27,1.35%
27,PR,Universidade Federal da Integração Latino-Americana,26,1.3%
28,RO,Universidade Federal de Rondônia,26,1.3%
29,DF,Universidade de Brasília,26,1.3%
30,MG,Universidade Federal de Viçosa,25,1.25%
31,AL,Universidade Federal de Alagoas,24,1.2%
32,PA,Universidade do Estado do Pará,24,1.2%
33,SP,Universidade de São Paulo,23,1.15%
34,MG,Universidade Federal de Uberlândia,21,1.05%
35,CE,Universidade Federal do Ceará,21,1.05%
36,PR,Universidade Estadual de Ponta Grossa,21,1.05%
