,uf_instituicao,instituicao,contagem
0,SP,Universidade Estadual de Campinas,164
1,ES,Universidade Federal do Espírito Santo,136
2,MA,Universidade Federal do Maranhão,97
3,RJ,Universidade do Estado do Rio de Janeiro,92
4,SP,Universidade Federal do ABC,89
5,PR,Universidade Estadual de Londrina,86
6,PE,Universidade Federal do Vale do São Francisco,82
7,BA,Universidade do Estado da Bahia,80
8,BA,Universidade Estadual de Santa Cruz,69
9,RS,Universidade Federal do Rio Grande do Sul,65
10,CE,Universidade Estadual do Ceará,61
11,MG,Centro Federal de Educação Tecnológica de Minas Gerais,60
12,PE,Universidade Federal Rural de Pernambuco,60
13,PR,Universidade Estadual do Oeste do Paraná,57
14,RS,Universidade Federal de Pelotas,56
15,BA,Universidade Federal do Sul da Bahia,53
16,BA,Universidade Estadual de Feira de Santana,53
17,MT,Universidade do Estado de Mato Grosso,52
18,RJ,Universidade Estadual do Norte Fluminense,52
19,PR,Universidade Estadual do Paraná,46
20,AC,Universidade Federal do Acre,44
21,AM,Universidade Federal do Amazonas,44
22,RJ,Universidade Federal do Rio de Janeiro,43
23,PR,Universidade Estadual de Maringá,43
24,MT,Universidade Federal do Mato Grosso,43
25,PI,Universidade Federal do Piauí,40
26,PR,Universidade Tecnológica Federal do Paraná,39
27,RO,Universidade Federal de Rondônia,38
28,PR,Universidade Federal da Integração Latino-Americana,37
29,DF,Universidade de Brasília,36
30,PA,Universidade do Estado do Pará,36
31,MG,Universidade Federal de Viçosa,33
32,SP,Universidade de São Paulo,33
33,MG,Universidade Federal de Uberlândia,31
34,AL,Universidade Federal de Alagoas,31
35,CE,Universidade Federal do Ceará,27
36,BA,Universidade Estadual do Sudoeste da Bahia,27
37,SC,Universidade do Estado de Santa Catarina,26
38,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,26
39,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,25
40,PR,Universidade Estadual de Ponta Grossa,25
41,MG,Universidade Federal de Lavras,23
42,PA,Universidade Federal Rural da Amazônia,23
43,PR,Universidade Federal do Paraná,23
44,GO,Universidade Estadual de Goiás,23
45,MT,Universidade Federal de Rondonópolis,22
46,SE,Universidade Federal de Sergipe,22
47,DF,Universidade do Distrito Federal,21
48,PB,Universidade Estadual da Paraíba,20
49,CE,Universidade Regional do Cariri,19
50,PE,Universidade de Pernambuco,18
51,MS,Universidade Estadual de Mato Grosso do Sul,18
52,PA,Universidade Federal do Oeste do Pará,15
53,SP,Universidade Federal de São Carlos,15
54,MG,Universidade Federal de Ouro Preto,14
55,PR,Universidade Estadual do Norte do Paraná,13
56,RJ,Universidade Federal Fluminense,12
57,AP,Universidade Federal do Amapá,12
58,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",12
59,PA,Universidade Federal do Pará,11
60,PI,Universidade Estadual do Piauí,11
61,PB,Universidade Federal da Paraíba,10
62,RS,Universidade Federal de Rio Grande,10
63,RS,Instituto Federal do Rio Grande do Sul,10
64,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,10
65,BA,Universidade Federal do Recôncavo da Bahia,10
66,RR,Universidade Federal de Roraima,10
67,RS,Universidade Federal de Santa Maria,9
68,SC,Universidade Federal da Fronteira Sul,9
69,MS,Universidade Federal de Dourados,9
70,PE,Universidade Federal de Pernambuco,8
71,PB,Universidade Federal de Campina Grande,7
72,SP,Universidade Federal de São Paulo,7
73,BA,Universidade Federal da Bahia,7
74,PR,Universidade Estadual do Centro-Oeste,7
75,MG,Universidade Federal de São João del Rei,7
76,MG,Universidade Federal de Juiz de Fora,7
77,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,6
78,RN,Universidade Federal do Rio Grande do Norte,5
79,MG,Universidade do Estado de Minas Gerais,5
80,RR,Universidade Estadual de Roraima,5
81,TO,Universidade de Guripi,4
82,MA,Universidade Estadual do Maranhão,4
83,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",4
84,PA,Universidade Federal do Sul e Sudeste do Pará,4
85,RN,Universidade Federal Rural do Semi-Árido,3
86,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,3
87,PI,Universidade Federal do Delta do Parnaíba,3
88,RJ,Universidade do Rio de Janeiro,2
89,PR,Instituto Federal do Paraná,2
90,MG,Universidade Estadual de Montes Claros,2
91,MG,Universidade Federal do Triângulo Mineiro,2
92,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,2
93,AC,Colégio de Aplicação da Universidade Federal do Acre,2
94,BA,Universidade Federal do Oeste da Bahia,2
95,PE,Universidade Federal do Agreste de Pernambuco,2
96,AP,Universidade Estado do Amapá,2
97,GO,Instituto Federal de Goiás,2
98,GO,Instituto Federal de Goiás Campus Goiânia Oeste,1
99,BA,Ceep em Biotecnologia e Saúde,1
100,ES,Associação Brasileira de Odontologia do Espírito Santo,1
101,SP,Universidade Estadual Paulista,1
102,SP,Universidade Nove de Julho,1
103,SP,Rede Municipal de Diadema,1
104,SP,Instituto Federal de São Paulo,1
105,SP,Faculdade de Medicina de Jundiaí,1
106,TO,Universidade Federal do Norte de Tocantins,1
107,SP,Colégio Técnico de Campinas,1
108,ES,Faculdade de Música do Espírito Santo,1
109,PR,Instituto Federal do Paraná Campus Cascavel,1
110,RS,Universidade de Santa Cruz do Sul,1
111,MA,Instituto Federal do Maranhão,1
112,RS,Universidade Federal do Pampa,1
113,MA,Universidade Estadual da Região Tocantina do Maranhão,1
114,MG,Universidade Federal de Alfenas,1
115,RS,Eeiem Nhamandu Nhemopu'ã,1
116,MG,Universidade Federal de Itajubá,1
117,MT,Instituto Federal do Mato Grosso,1
118,RO,Instituto Federal de Rondônia,1
119,MT,Instituto Saberes,1
120,PA,Instituto Federal do Pará Campus Castanhal,1
121,RJ,Universidade Federal do Estado do Rio de Janeiro,1
122,RJ,Universidade Federal Rural do Rio de Janeiro,1
123,RJ,Secretaria de Estado de Educação do Rio de Janeiro,1
124,RJ,Colégio de Aplicação da Universidade do Estado do Rio de Janeiro,1
125,MG,Instituto Federal do Sudeste Mineiro,1
