,uf_instituicao,instituicao,contagem
0,SP,Universidade Estadual de Campinas,49
1,ES,Universidade Federal do Espírito Santo,33
2,MA,Universidade Federal do Maranhão,31
3,BA,Universidade do Estado da Bahia,31
4,SP,Universidade Federal do ABC,30
5,RJ,Universidade do Estado do Rio de Janeiro,26
6,PR,Universidade Estadual de Londrina,24
7,MG,Centro Federal de Educação Tecnológica de Minas Gerais,21
8,PE,Universidade Federal do Vale do São Francisco,21
9,RS,Universidade Federal de Pelotas,20
10,PE,Universidade Federal Rural de Pernambuco,20
11,RS,Universidade Federal do Rio Grande do Sul,18
12,BA,Universidade Federal do Sul da Bahia,18
13,BA,Universidade Estadual de Feira de Santana,17
14,PR,Universidade Estadual do Paraná,17
15,MT,Universidade Federal do Mato Grosso,16
16,BA,Universidade Estadual de Santa Cruz,16
17,CE,Universidade Estadual do Ceará,15
18,MT,Universidade do Estado de Mato Grosso,15
19,PR,Universidade Estadual do Oeste do Paraná,13
20,RJ,Universidade Federal do Rio de Janeiro,12
21,PA,Universidade do Estado do Pará,12
22,AC,Universidade Federal do Acre,12
23,RO,Universidade Federal de Rondônia,12
24,PR,Universidade Federal da Integração Latino-Americana,11
25,DF,Universidade do Distrito Federal,11
26,AM,Universidade Federal do Amazonas,11
27,BA,Universidade Estadual do Sudoeste da Bahia,10
28,PI,Universidade Federal do Piauí,10
29,DF,Universidade de Brasília,10
30,SP,Universidade de São Paulo,10
31,MG,Universidade Federal de Uberlândia,10
32,RJ,Universidade Estadual do Norte Fluminense,9
33,MS,Universidade Estadual de Mato Grosso do Sul,9
34,MG,Universidade Federal de Viçosa,8
35,PA,Universidade Federal Rural da Amazônia,8
36,PR,Universidade Estadual de Maringá,7
37,AL,Universidade Federal de Alagoas,7
38,PR,Universidade Federal do Paraná,7
39,PR,Universidade Tecnológica Federal do Paraná,7
40,SE,Universidade Federal de Sergipe,7
41,GO,Universidade Estadual de Goiás,7
42,SC,Universidade do Estado de Santa Catarina,7
43,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,6
44,MG,Universidade Federal de Ouro Preto,6
45,MT,Universidade Federal de Rondonópolis,6
46,CE,Universidade Federal do Ceará,6
47,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,6
48,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",6
49,PE,Universidade de Pernambuco,5
50,PB,Universidade Estadual da Paraíba,5
51,PB,Universidade Federal de Campina Grande,5
52,CE,Universidade Regional do Cariri,5
53,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,5
54,MG,Universidade Federal de Lavras,5
55,PR,Universidade Estadual de Ponta Grossa,4
56,RS,Instituto Federal do Rio Grande do Sul,4
57,SP,Universidade Federal de São Carlos,4
58,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",4
59,SC,Universidade Federal da Fronteira Sul,4
60,PR,Universidade Estadual do Norte do Paraná,4
61,MG,Universidade Federal de Juiz de Fora,4
62,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,4
63,SP,Universidade Federal de São Paulo,3
64,BA,Universidade Federal do Recôncavo da Bahia,3
65,MA,Universidade Estadual do Maranhão,3
66,PE,Universidade Federal de Pernambuco,3
67,PA,Universidade Federal do Pará,3
68,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,2
69,RS,Universidade Federal de Santa Maria,2
70,RN,Universidade Federal Rural do Semi-Árido,2
71,TO,Universidade de Guripi,2
72,PR,Universidade Estadual do Centro-Oeste,2
73,AP,Universidade Estado do Amapá,2
74,AP,Universidade Federal do Amapá,2
75,PA,Universidade Federal do Sul e Sudeste do Pará,2
76,PA,Universidade Federal do Oeste do Pará,2
77,MG,Universidade do Estado de Minas Gerais,2
78,MG,Universidade Estadual de Montes Claros,1
79,BA,Ceep em Biotecnologia e Saúde,1
80,BA,Universidade Federal da Bahia,1
81,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,1
82,SP,Universidade Estadual Paulista,1
83,SP,Instituto Federal de São Paulo,1
84,SP,Colégio Técnico de Campinas,1
85,GO,Instituto Federal de Goiás Campus Goiânia Oeste,1
86,MA,Instituto Federal do Maranhão,1
87,MG,Universidade Federal de São João del Rei,1
88,MG,Universidade Federal de Alfenas,1
89,PI,Universidade Federal do Delta do Parnaíba,1
90,RS,Universidade Federal de Rio Grande,1
91,MG,Universidade Federal do Triângulo Mineiro,1
92,MS,Universidade Federal de Dourados,1
93,RS,Eeiem Nhamandu Nhemopu'ã,1
94,MT,Instituto Federal do Mato Grosso,1
95,MT,Instituto Saberes,1
96,RJ,Universidade Federal Rural do Rio de Janeiro,1
97,RJ,Universidade Federal Fluminense,1
98,PI,Universidade Estadual do Piauí,1
99,PB,Universidade Federal da Paraíba,1
