,uf_instituicao,instituicao,contagem
0,SP,Universidade Federal do ABC,24
1,RJ,Universidade do Estado do Rio de Janeiro,21
2,PE,Universidade Federal do Vale do São Francisco,20
3,RS,Universidade Federal de Pelotas,19
4,PR,Universidade Estadual de Londrina,18
5,BA,Universidade Federal do Sul da Bahia,16
6,PR,Universidade Estadual do Paraná,15
7,CE,Universidade Estadual do Ceará,14
8,SP,Universidade Estadual de Campinas,14
9,RO,Universidade Federal de Rondônia,12
10,MA,Universidade Federal do Maranhão,12
11,PR,Universidade Estadual do Oeste do Paraná,11
12,MT,Universidade do Estado de Mato Grosso,11
13,RJ,Universidade Federal do Rio de Janeiro,10
14,PI,Universidade Federal do Piauí,10
15,PE,Universidade Federal Rural de Pernambuco,10
16,MT,Universidade Federal do Mato Grosso,10
17,BA,Universidade Estadual de Feira de Santana,10
18,BA,Universidade Estadual de Santa Cruz,10
19,RJ,Universidade Estadual do Norte Fluminense,9
20,MS,Universidade Estadual de Mato Grosso do Sul,9
21,SP,Universidade de São Paulo,8
22,PA,Universidade do Estado do Pará,8
23,ES,Universidade Federal do Espírito Santo,8
24,MG,Universidade Federal de Uberlândia,8
25,MG,Universidade Federal de Viçosa,8
26,AL,Universidade Federal de Alagoas,7
27,AM,Universidade Federal do Amazonas,7
28,PR,Universidade Estadual de Maringá,7
29,CE,Universidade Federal do Ceará,6
30,BA,Universidade Estadual do Sudoeste da Bahia,6
31,BA,Universidade do Estado da Bahia,6
32,MT,Universidade Federal de Rondonópolis,6
33,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",6
34,PA,Universidade Federal Rural da Amazônia,6
35,AC,Universidade Federal do Acre,6
36,MG,Universidade Federal de Lavras,5
37,PB,Universidade Federal de Campina Grande,5
38,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,5
39,PR,Universidade Federal do Paraná,5
40,DF,Universidade de Brasília,5
41,DF,Universidade do Distrito Federal,5
42,CE,Universidade Regional do Cariri,5
43,SC,Universidade do Estado de Santa Catarina,5
44,MG,Universidade Federal de Juiz de Fora,4
45,SP,Universidade Federal de São Carlos,4
46,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,4
47,PE,Universidade de Pernambuco,4
48,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",4
49,RS,Instituto Federal do Rio Grande do Sul,4
50,PR,Universidade Estadual de Ponta Grossa,3
51,GO,Universidade Estadual de Goiás,3
52,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,3
53,PR,Universidade Tecnológica Federal do Paraná,3
54,PR,Universidade Estadual do Norte do Paraná,3
55,SE,Universidade Federal de Sergipe,3
56,SC,Universidade Federal da Fronteira Sul,3
57,PE,Universidade Federal de Pernambuco,3
58,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,3
59,BA,Universidade Federal do Recôncavo da Bahia,3
60,MG,Universidade Federal de Ouro Preto,3
61,RN,Universidade Federal Rural do Semi-Árido,2
62,MG,Centro Federal de Educação Tecnológica de Minas Gerais,2
63,PA,Universidade Federal do Oeste do Pará,2
64,PR,Universidade Federal da Integração Latino-Americana,2
65,RS,Universidade Federal de Santa Maria,2
66,AP,Universidade Estado do Amapá,2
67,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,2
68,PA,Universidade Federal do Pará,2
69,SP,Universidade Estadual Paulista,1
70,SP,Instituto Federal de São Paulo,1
71,RS,Eeiem Nhamandu Nhemopu'ã,1
72,SP,Universidade Federal de São Paulo,1
73,RS,Universidade Federal do Rio Grande do Sul,1
74,PB,Universidade Federal da Paraíba,1
75,PR,Universidade Estadual do Centro-Oeste,1
76,PI,Universidade Federal do Delta do Parnaíba,1
77,PI,Universidade Estadual do Piauí,1
78,PB,Universidade Estadual da Paraíba,1
79,PA,Universidade Federal do Sul e Sudeste do Pará,1
80,MT,Instituto Federal do Mato Grosso,1
81,MS,Universidade Federal de Dourados,1
82,MG,Universidade do Estado de Minas Gerais,1
83,MG,Universidade Federal do Triângulo Mineiro,1
84,MG,Universidade Federal de Alfenas,1
85,MG,Universidade Estadual de Montes Claros,1
86,GO,Instituto Federal de Goiás Campus Goiânia Oeste,1
87,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,1
88,BA,Universidade Federal da Bahia,1
89,BA,Ceep em Biotecnologia e Saúde,1
90,TO,Universidade de Guripi,1
