,uf_instituicao,instituicao,contagem
0,SP,Universidade Estadual de Campinas,170
1,ES,Universidade Federal do Espírito Santo,154
2,MA,Universidade Federal do Maranhão,100
3,RJ,Universidade do Estado do Rio de Janeiro,92
4,PR,Universidade Estadual de Londrina,90
5,SP,Universidade Federal do ABC,89
6,BA,Universidade do Estado da Bahia,88
7,PE,Universidade Federal do Vale do São Francisco,82
8,BA,Universidade Estadual de Santa Cruz,69
9,RS,Universidade Federal do Rio Grande do Sul,66
10,MG,Centro Federal de Educação Tecnológica de Minas Gerais,62
11,CE,Universidade Estadual do Ceará,61
12,PE,Universidade Federal Rural de Pernambuco,60
13,RJ,Universidade Estadual do Norte Fluminense,59
14,PR,Universidade Estadual do Oeste do Paraná,58
15,BA,Universidade Estadual de Feira de Santana,57
16,RS,Universidade Federal de Pelotas,56
17,BA,Universidade Federal do Sul da Bahia,53
18,MT,Universidade do Estado de Mato Grosso,52
19,PR,Universidade Estadual do Paraná,52
20,DF,Universidade de Brasília,51
21,AM,Universidade Federal do Amazonas,48
22,MG,Universidade Federal de Lavras,46
23,RJ,Universidade Federal do Rio de Janeiro,46
24,AC,Universidade Federal do Acre,45
25,MT,Universidade Federal do Mato Grosso,44
26,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",43
27,PR,Universidade Estadual de Maringá,43
28,PR,Universidade Tecnológica Federal do Paraná,43
29,RO,Universidade Federal de Rondônia,42
30,PI,Universidade Federal do Piauí,40
31,PR,Universidade Federal da Integração Latino-Americana,40
32,MG,Universidade Federal de São João del Rei,39
33,PA,Universidade do Estado do Pará,38
34,MS,Universidade Federal de Dourados,38
35,MG,Universidade Federal de Viçosa,37
36,RS,Universidade Federal de Santa Maria,34
37,BA,Universidade Estadual do Sudoeste da Bahia,34
38,SP,Universidade de São Paulo,34
39,MG,Universidade Federal de Uberlândia,31
40,AL,Universidade Federal de Alagoas,31
41,SC,Universidade do Estado de Santa Catarina,29
42,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,27
43,CE,Universidade Federal do Ceará,27
44,MG,Universidade Federal de Ouro Preto,26
45,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,25
46,PR,Universidade Federal do Paraná,25
47,PR,Universidade Estadual de Ponta Grossa,25
48,GO,Universidade Estadual de Goiás,24
49,PA,Universidade Federal Rural da Amazônia,23
50,MT,Universidade Federal de Rondonópolis,22
51,SE,Universidade Federal de Sergipe,22
52,DF,Universidade do Distrito Federal,21
53,PB,Universidade Estadual da Paraíba,21
54,CE,Universidade Regional do Cariri,19
55,PE,Universidade de Pernambuco,18
56,MS,Universidade Estadual de Mato Grosso do Sul,18
57,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",16
58,PA,Universidade Federal do Oeste do Pará,15
59,SP,Universidade Federal de São Carlos,15
60,RS,Instituto Federal do Rio Grande do Sul,13
61,PR,Universidade Estadual do Norte do Paraná,13
62,RJ,Universidade Federal Fluminense,12
63,AP,Universidade Federal do Amapá,12
64,PI,Universidade Estadual do Piauí,12
65,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,12
66,PA,Universidade Federal do Pará,11
67,BA,Universidade Federal do Recôncavo da Bahia,10
68,PB,Universidade Federal da Paraíba,10
69,RR,Universidade Federal de Roraima,10
70,RS,Universidade Federal de Rio Grande,10
71,SP,Universidade Federal de São Paulo,9
72,SC,Universidade Federal da Fronteira Sul,9
73,PE,Universidade Federal de Pernambuco,8
74,MG,Universidade Federal de Juiz de Fora,8
75,PB,Universidade Federal de Campina Grande,7
76,BA,Universidade Federal do Oeste da Bahia,7
77,BA,Universidade Federal da Bahia,7
