,uf_instituicao,instituicao,contagem
0,ES,Universidade Federal do Espírito Santo,51
1,MT,Universidade Federal do Mato Grosso,7
2,MS,Universidade Estadual de Mato Grosso do Sul,7
3,MT,Universidade do Estado de Mato Grosso,6
4,PR,Universidade Estadual de Maringá,6
5,AM,Universidade Federal do Amazonas,5
6,MG,Centro Federal de Educação Tecnológica de Minas Gerais,5
7,SP,Universidade Estadual de Campinas,5
8,BA,Universidade do Estado da Bahia,5
9,RS,Universidade Federal do Rio Grande do Sul,4
10,RS,Universidade Federal de Pelotas,4
11,CE,Universidade Estadual Vale do Acaraú,4
12,PE,Universidade Federal Rural de Pernambuco,4
13,DF,Universidade de Brasília,3
14,PB,Universidade Federal da Paraíba,3
15,PR,Universidade Estadual do Oeste do Paraná,3
16,RJ,Universidade do Estado do Rio de Janeiro,3
17,PR,Universidade Estadual de Londrina,2
18,AL,Universidade Federal de Alagoas,2
19,MG,Universidade Federal de Viçosa,2
20,RS,Universidade Federal de Rio Grande,2
21,CE,Universidade Federal do Ceará,2
22,SE,Universidade Federal de Sergipe,2
23,BA,Universidade Estadual de Feira de Santana,2
24,SP,Universidade de São Paulo,2
25,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,2
26,RJ,Universidade Estadual do Norte Fluminense,1
27,RR,Universidade Federal de Roraima,1
28,SC,Universidade do Estado de Santa Catarina,1
29,RO,Universidade Federal de Rondônia,1
30,SP,Universidade Federal do ABC,1
31,RJ,Universidade Federal do Rio de Janeiro,1
32,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,1
33,PR,Universidade Tecnológica Federal do Paraná,1
34,PR,Universidade Federal da Integração Latino-Americana,1
35,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",1
36,PA,Universidade Federal do Pará,1
37,MG,Universidade Federal de Uberlândia,1
38,MA,Universidade Federal do Maranhão,1
39,ES,Faculdade de Música do Espírito Santo,1
40,CE,Universidade Estadual do Ceará,1
41,BA,Universidade Federal do Sul da Bahia,1
42,BA,Universidade Federal do Oeste da Bahia,1
43,BA,Universidade Estadual de Santa Cruz,1
44,AP,Universidade Federal do Amapá,1
45,TO,Universidade de Guripi,1
