,UF,Instituição de Ensino,Contagem,Proporção
0,ES,Universidade Federal do Espírito Santo,71,4.4%
1,RJ,Universidade do Estado do Rio de Janeiro,66,4.09%
2,PE,Universidade Federal do Vale do São Francisco,61,3.78%
3,SP,Universidade Estadual de Campinas,58,3.6%
4,SP,Universidade Federal do ABC,58,3.6%
5,PR,Universidade Estadual de Londrina,52,3.22%
6,RS,Universidade Federal do Rio Grande do Sul,46,2.85%
7,PR,Universidade Estadual do Oeste do Paraná,42,2.6%
8,RJ,Universidade Estadual do Norte Fluminense,42,2.6%
9,PE,Universidade Federal Rural de Pernambuco,40,2.48%
10,CE,Universidade Estadual do Ceará,39,2.42%
11,BA,Universidade Estadual de Santa Cruz,38,2.36%
12,MT,Universidade do Estado de Mato Grosso,36,2.23%
13,RS,Universidade Federal de Pelotas,35,2.17%
14,BA,Universidade Federal do Sul da Bahia,35,2.17%
15,BA,Universidade Estadual de Feira de Santana,32,1.98%
16,AM,Universidade Federal do Amazonas,32,1.98%
17,RJ,Universidade Federal do Rio de Janeiro,29,1.8%
18,PI,Universidade Federal do Piauí,29,1.8%
19,MA,Universidade Federal do Maranhão,28,1.74%
20,PR,Universidade Estadual de Maringá,28,1.74%
21,MT,Universidade Federal do Mato Grosso,26,1.61%
22,RO,Universidade Federal de Rondônia,26,1.61%
23,MG,Centro Federal de Educação Tecnológica de Minas Gerais,25,1.55%
24,DF,Universidade de Brasília,25,1.55%
25,MG,Universidade Federal de Viçosa,24,1.49%
26,AL,Universidade Federal de Alagoas,24,1.49%
27,PA,Universidade do Estado do Pará,23,1.43%
28,PR,Universidade Tecnológica Federal do Paraná,23,1.43%
29,PR,Universidade Estadual do Paraná,23,1.43%
30,BA,Universidade do Estado da Bahia,22,1.36%
31,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,20,1.24%
32,CE,Universidade Federal do Ceará,19,1.18%
33,SC,Universidade do Estado de Santa Catarina,19,1.18%
34,PR,Universidade Estadual de Ponta Grossa,16,0.99%
35,AC,Universidade Federal do Acre,16,0.99%
36,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,16,0.99%
37,MG,Universidade Federal de Uberlândia,15,0.93%
38,MG,Universidade Federal de Lavras,15,0.93%
39,MT,Universidade Federal de Rondonópolis,15,0.93%
40,CE,Universidade Regional do Cariri,14,0.87%
41,SP,Universidade de São Paulo,14,0.87%
42,PA,Universidade Federal do Oeste do Pará,13,0.81%
43,PR,Universidade Federal do Paraná,13,0.81%
44,PE,Universidade de Pernambuco,13,0.81%
45,SE,Universidade Federal de Sergipe,13,0.81%
46,RJ,Universidade Federal Fluminense,11,0.68%
47,PI,Universidade Estadual do Piauí,10,0.62%
48,SP,Universidade Federal de São Carlos,10,0.62%
49,DF,Universidade do Distrito Federal,10,0.62%
