,UF,Instituição de Ensino,Contagem,Proporção
0,SP,Universidade Estadual de Campinas,164,5.83%
1,ES,Universidade Federal do Espírito Santo,136,4.83%
2,MA,Universidade Federal do Maranhão,97,3.45%
3,RJ,Universidade do Estado do Rio de Janeiro,92,3.27%
4,SP,Universidade Federal do ABC,89,3.16%
5,PR,Universidade Estadual de Londrina,86,3.06%
6,PE,Universidade Federal do Vale do São Francisco,82,2.91%
7,BA,Universidade do Estado da Bahia,80,2.84%
8,BA,Universidade Estadual de Santa Cruz,69,2.45%
9,RS,Universidade Federal do Rio Grande do Sul,65,2.31%
10,CE,Universidade Estadual do Ceará,61,2.17%
11,MG,Centro Federal de Educação Tecnológica de Minas Gerais,60,2.13%
12,PE,Universidade Federal Rural de Pernambuco,60,2.13%
13,PR,Universidade Estadual do Oeste do Paraná,57,2.02%
14,RS,Universidade Federal de Pelotas,56,1.99%
15,BA,Universidade Federal do Sul da Bahia,53,1.88%
16,BA,Universidade Estadual de Feira de Santana,53,1.88%
17,MT,Universidade do Estado de Mato Grosso,52,1.85%
18,RJ,Universidade Estadual do Norte Fluminense,52,1.85%
19,PR,Universidade Estadual do Paraná,46,1.63%
20,AC,Universidade Federal do Acre,44,1.56%
21,AM,Universidade Federal do Amazonas,44,1.56%
22,RJ,Universidade Federal do Rio de Janeiro,43,1.53%
23,PR,Universidade Estadual de Maringá,43,1.53%
24,MT,Universidade Federal do Mato Grosso,43,1.53%
25,PI,Universidade Federal do Piauí,40,1.42%
26,PR,Universidade Tecnológica Federal do Paraná,39,1.39%
27,RO,Universidade Federal de Rondônia,38,1.35%
28,PR,Universidade Federal da Integração Latino-Americana,37,1.31%
29,DF,Universidade de Brasília,36,1.28%
30,PA,Universidade do Estado do Pará,36,1.28%
31,MG,Universidade Federal de Viçosa,33,1.17%
32,SP,Universidade de São Paulo,33,1.17%
33,MG,Universidade Federal de Uberlândia,31,1.1%
34,AL,Universidade Federal de Alagoas,31,1.1%
35,CE,Universidade Federal do Ceará,27,0.96%
36,BA,Universidade Estadual do Sudoeste da Bahia,27,0.96%
37,SC,Universidade do Estado de Santa Catarina,26,0.92%
38,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,26,0.92%
39,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,25,0.89%
40,PR,Universidade Estadual de Ponta Grossa,25,0.89%
41,MG,Universidade Federal de Lavras,23,0.82%
42,PA,Universidade Federal Rural da Amazônia,23,0.82%
43,PR,Universidade Federal do Paraná,23,0.82%
44,GO,Universidade Estadual de Goiás,23,0.82%
45,MT,Universidade Federal de Rondonópolis,22,0.78%
46,SE,Universidade Federal de Sergipe,22,0.78%
47,DF,Universidade do Distrito Federal,21,0.75%
48,PB,Universidade Estadual da Paraíba,20,0.71%
49,CE,Universidade Regional do Cariri,19,0.67%
50,PE,Universidade de Pernambuco,18,0.64%
51,MS,Universidade Estadual de Mato Grosso do Sul,18,0.64%
52,PA,Universidade Federal do Oeste do Pará,15,0.53%
53,SP,Universidade Federal de São Carlos,15,0.53%
54,MG,Universidade Federal de Ouro Preto,14,0.5%
55,PR,Universidade Estadual do Norte do Paraná,13,0.46%
56,RJ,Universidade Federal Fluminense,12,0.43%
57,AP,Universidade Federal do Amapá,12,0.43%
58,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",12,0.43%
59,PA,Universidade Federal do Pará,11,0.39%
60,PI,Universidade Estadual do Piauí,11,0.39%
61,PB,Universidade Federal da Paraíba,10,0.36%
62,RS,Universidade Federal de Rio Grande,10,0.36%
63,RS,Instituto Federal do Rio Grande do Sul,10,0.36%
64,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,10,0.36%
65,BA,Universidade Federal do Recôncavo da Bahia,10,0.36%
66,RR,Universidade Federal de Roraima,10,0.36%
67,RS,Universidade Federal de Santa Maria,9,0.32%
68,SC,Universidade Federal da Fronteira Sul,9,0.32%
69,MS,Universidade Federal de Dourados,9,0.32%
70,PE,Universidade Federal de Pernambuco,8,0.28%
71,PB,Universidade Federal de Campina Grande,7,0.25%
72,SP,Universidade Federal de São Paulo,7,0.25%
73,BA,Universidade Federal da Bahia,7,0.25%
74,PR,Universidade Estadual do Centro-Oeste,7,0.25%
75,MG,Universidade Federal de São João del Rei,7,0.25%
76,MG,Universidade Federal de Juiz de Fora,7,0.25%
77,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,6,0.21%
78,RN,Universidade Federal do Rio Grande do Norte,5,0.18%
79,MG,Universidade do Estado de Minas Gerais,5,0.18%
80,RR,Universidade Estadual de Roraima,5,0.18%
81,TO,Universidade de Guripi,4,0.14%
82,MA,Universidade Estadual do Maranhão,4,0.14%
83,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",4,0.14%
84,PA,Universidade Federal do Sul e Sudeste do Pará,4,0.14%
85,RN,Universidade Federal Rural do Semi-Árido,3,0.11%
86,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,3,0.11%
87,PI,Universidade Federal do Delta do Parnaíba,3,0.11%
88,RJ,Universidade do Rio de Janeiro,2,0.07%
89,PR,Instituto Federal do Paraná,2,0.07%
90,MG,Universidade Estadual de Montes Claros,2,0.07%
91,MG,Universidade Federal do Triângulo Mineiro,2,0.07%
92,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,2,0.07%
93,AC,Colégio de Aplicação da Universidade Federal do Acre,2,0.07%
94,BA,Universidade Federal do Oeste da Bahia,2,0.07%
95,PE,Universidade Federal do Agreste de Pernambuco,2,0.07%
96,AP,Universidade Estado do Amapá,2,0.07%
97,GO,Instituto Federal de Goiás,2,0.07%
98,GO,Instituto Federal de Goiás Campus Goiânia Oeste,1,0.04%
99,BA,Ceep em Biotecnologia e Saúde,1,0.04%
100,ES,Associação Brasileira de Odontologia do Espírito Santo,1,0.04%
101,SP,Universidade Estadual Paulista,1,0.04%
102,SP,Universidade Nove de Julho,1,0.04%
103,SP,Rede Municipal de Diadema,1,0.04%
104,SP,Instituto Federal de São Paulo,1,0.04%
105,SP,Faculdade de Medicina de Jundiaí,1,0.04%
106,TO,Universidade Federal do Norte de Tocantins,1,0.04%
107,SP,Colégio Técnico de Campinas,1,0.04%
108,ES,Faculdade de Música do Espírito Santo,1,0.04%
109,PR,Instituto Federal do Paraná Campus Cascavel,1,0.04%
110,RS,Universidade de Santa Cruz do Sul,1,0.04%
111,MA,Instituto Federal do Maranhão,1,0.04%
112,RS,Universidade Federal do Pampa,1,0.04%
113,MA,Universidade Estadual da Região Tocantina do Maranhão,1,0.04%
114,MG,Universidade Federal de Alfenas,1,0.04%
115,RS,Eeiem Nhamandu Nhemopu'ã,1,0.04%
116,MG,Universidade Federal de Itajubá,1,0.04%
117,MT,Instituto Federal do Mato Grosso,1,0.04%
118,RO,Instituto Federal de Rondônia,1,0.04%
119,MT,Instituto Saberes,1,0.04%
120,PA,Instituto Federal do Pará Campus Castanhal,1,0.04%
121,RJ,Universidade Federal do Estado do Rio de Janeiro,1,0.04%
122,RJ,Universidade Federal Rural do Rio de Janeiro,1,0.04%
123,RJ,Secretaria de Estado de Educação do Rio de Janeiro,1,0.04%
124,RJ,Colégio de Aplicação da Universidade do Estado do Rio de Janeiro,1,0.04%
125,MG,Instituto Federal do Sudeste Mineiro,1,0.04%
