,UF,Instituição de Ensino,Contagem,Proporção
0,ES,Universidade Federal do Espírito Santo,15,34.88%
1,MS,Universidade Estadual de Mato Grosso do Sul,4,9.3%
2,MT,Universidade do Estado de Mato Grosso,2,4.65%
3,RS,Universidade Federal do Rio Grande do Sul,2,4.65%
4,DF,Universidade de Brasília,2,4.65%
5,PR,Universidade Estadual de Maringá,2,4.65%
6,MT,Universidade Federal do Mato Grosso,2,4.65%
7,SP,Universidade Estadual de Campinas,1,2.33%
8,RR,Universidade Federal de Roraima,1,2.33%
9,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1,2.33%
10,PR,Universidade Estadual do Oeste do Paraná,1,2.33%
11,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,1,2.33%
12,AM,Universidade Federal do Amazonas,1,2.33%
13,BA,Universidade Federal do Oeste da Bahia,1,2.33%
14,MG,Universidade Federal de Viçosa,1,2.33%
15,MA,Universidade Federal do Maranhão,1,2.33%
16,CE,Universidade Federal do Ceará,1,2.33%
17,CE,Universidade Estadual Vale do Acaraú,1,2.33%
18,BA,Universidade do Estado da Bahia,1,2.33%
19,BA,Universidade Federal do Sul da Bahia,1,2.33%
20,SP,Universidade Federal do ABC,1,2.33%
