,UF,Instituição de Ensino,Contagem,Proporção
0,SP,Universidade Estadual de Campinas,52,5.53%
1,ES,Universidade Federal do Espírito Santo,42,4.47%
2,BA,Universidade do Estado da Bahia,33,3.51%
3,MA,Universidade Federal do Maranhão,32,3.4%
4,SP,Universidade Federal do ABC,30,3.19%
5,PR,Universidade Estadual de Londrina,26,2.77%
6,RJ,Universidade do Estado do Rio de Janeiro,26,2.77%
7,MG,Centro Federal de Educação Tecnológica de Minas Gerais,22,2.34%
8,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",21,2.23%
9,PE,Universidade Federal do Vale do São Francisco,21,2.23%
10,RS,Universidade Federal de Pelotas,20,2.13%
11,PE,Universidade Federal Rural de Pernambuco,20,2.13%
12,PR,Universidade Estadual do Paraná,19,2.02%
13,BA,Universidade Federal do Sul da Bahia,18,1.91%
14,RS,Universidade Federal do Rio Grande do Sul,18,1.91%
15,MS,Universidade Federal de Dourados,18,1.91%
16,BA,Universidade Estadual de Feira de Santana,18,1.91%
17,MT,Universidade Federal do Mato Grosso,17,1.81%
18,DF,Universidade de Brasília,16,1.7%
19,BA,Universidade Estadual de Santa Cruz,16,1.7%
20,RO,Universidade Federal de Rondônia,15,1.6%
21,MT,Universidade do Estado de Mato Grosso,15,1.6%
22,MG,Universidade Federal de Ouro Preto,15,1.6%
23,CE,Universidade Estadual do Ceará,15,1.6%
24,PR,Universidade Estadual do Oeste do Paraná,13,1.38%
25,PA,Universidade do Estado do Pará,13,1.38%
26,RJ,Universidade Federal do Rio de Janeiro,13,1.38%
27,AC,Universidade Federal do Acre,12,1.28%
28,AM,Universidade Federal do Amazonas,12,1.28%
29,RJ,Universidade Estadual do Norte Fluminense,12,1.28%
30,BA,Universidade Estadual do Sudoeste da Bahia,12,1.28%
31,PR,Universidade Federal da Integração Latino-Americana,12,1.28%
32,MG,Universidade Federal de São João del Rei,11,1.17%
33,SP,Universidade de São Paulo,11,1.17%
34,DF,Universidade do Distrito Federal,11,1.17%
35,PI,Universidade Federal do Piauí,10,1.06%
36,MG,Universidade Federal de Uberlândia,10,1.06%
37,PR,Universidade Federal do Paraná,9,0.96%
38,SC,Universidade do Estado de Santa Catarina,9,0.96%
39,RS,Universidade Federal de Santa Maria,9,0.96%
40,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",9,0.96%
41,PR,Universidade Tecnológica Federal do Paraná,9,0.96%
