,UF,Instituição de Ensino,Contagem,Proporção
0,SP,Universidade Estadual de Campinas,124,5.05%
1,ES,Universidade Federal do Espírito Santo,115,4.69%
2,RJ,Universidade do Estado do Rio de Janeiro,92,3.75%
3,SP,Universidade Federal do ABC,87,3.55%
4,PE,Universidade Federal do Vale do São Francisco,82,3.34%
5,MA,Universidade Federal do Maranhão,75,3.06%
6,BA,Universidade do Estado da Bahia,75,3.06%
7,PR,Universidade Estadual de Londrina,72,2.93%
8,RS,Universidade Federal do Rio Grande do Sul,64,2.61%
9,PE,Universidade Federal Rural de Pernambuco,60,2.44%
10,RS,Universidade Federal de Pelotas,54,2.2%
11,CE,Universidade Estadual do Ceará,54,2.2%
12,PR,Universidade Estadual do Oeste do Paraná,53,2.16%
13,MG,Centro Federal de Educação Tecnológica de Minas Gerais,53,2.16%
14,BA,Universidade Estadual de Feira de Santana,53,2.16%
15,BA,Universidade Estadual de Santa Cruz,53,2.16%
16,RJ,Universidade Estadual do Norte Fluminense,51,2.08%
17,BA,Universidade Federal do Sul da Bahia,51,2.08%
18,MT,Universidade do Estado de Mato Grosso,49,2.0%
19,AM,Universidade Federal do Amazonas,42,1.71%
20,RJ,Universidade Federal do Rio de Janeiro,42,1.71%
21,MT,Universidade Federal do Mato Grosso,40,1.63%
22,PI,Universidade Federal do Piauí,39,1.59%
23,PR,Universidade Estadual do Paraná,38,1.55%
24,RO,Universidade Federal de Rondônia,38,1.55%
25,DF,Universidade de Brasília,36,1.47%
26,PR,Universidade Estadual de Maringá,36,1.47%
27,PA,Universidade do Estado do Pará,34,1.39%
28,MG,Universidade Federal de Viçosa,33,1.34%
29,AL,Universidade Federal de Alagoas,31,1.26%
30,PR,Universidade Tecnológica Federal do Paraná,26,1.06%
31,SC,Universidade do Estado de Santa Catarina,26,1.06%
32,CE,Universidade Federal do Ceará,25,1.02%
33,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,25,1.02%
34,SP,Universidade de São Paulo,24,0.98%
35,AC,Universidade Federal do Acre,24,0.98%
36,MG,Universidade Federal de Uberlândia,23,0.94%
37,PR,Universidade Federal do Paraná,22,0.9%
38,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,21,0.86%
39,DF,Universidade do Distrito Federal,21,0.86%
40,MG,Universidade Federal de Lavras,21,0.86%
41,MT,Universidade Federal de Rondonópolis,21,0.86%
42,CE,Universidade Regional do Cariri,19,0.77%
43,PR,Universidade Estadual de Ponta Grossa,19,0.77%
44,MS,Universidade Estadual de Mato Grosso do Sul,18,0.73%
45,PE,Universidade de Pernambuco,18,0.73%
46,BA,Universidade Estadual do Sudoeste da Bahia,17,0.69%
47,SE,Universidade Federal de Sergipe,16,0.65%
48,PA,Universidade Federal do Oeste do Pará,15,0.61%
49,PA,Universidade Federal Rural da Amazônia,14,0.57%
