,UF,Instituição de Ensino,Contagem,Proporção
50,SP,Universidade Federal de São Carlos,14,0.57%
51,AP,Universidade Federal do Amapá,12,0.49%
52,PI,Universidade Estadual do Piauí,11,0.45%
53,PR,Universidade Estadual do Norte do Paraná,11,0.45%
54,RJ,Universidade Federal Fluminense,11,0.45%
55,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",11,0.45%
56,RS,Instituto Federal do Rio Grande do Sul,10,0.41%
57,RR,Universidade Federal de Roraima,10,0.41%
58,MS,Universidade Federal de Dourados,9,0.37%
59,PA,Universidade Federal do Pará,9,0.37%
60,BA,Universidade Federal do Recôncavo da Bahia,9,0.37%
61,SC,Universidade Federal da Fronteira Sul,9,0.37%
62,PR,Universidade Federal da Integração Latino-Americana,9,0.37%
63,PB,Universidade Federal da Paraíba,9,0.37%
64,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,8,0.33%
65,PB,Universidade Estadual da Paraíba,8,0.33%
66,PE,Universidade Federal de Pernambuco,8,0.33%
67,MG,Universidade Federal de Juiz de Fora,7,0.29%
68,GO,Universidade Estadual de Goiás,7,0.29%
69,PB,Universidade Federal de Campina Grande,7,0.29%
70,PR,Universidade Estadual do Centro-Oeste,7,0.29%
71,MG,Universidade Federal de Ouro Preto,7,0.29%
72,RS,Universidade Federal de Santa Maria,6,0.24%
73,RR,Universidade Estadual de Roraima,5,0.2%
74,RS,Universidade Federal de Rio Grande,5,0.2%
75,RN,Universidade Federal do Rio Grande do Norte,5,0.2%
76,SP,Universidade Federal de São Paulo,5,0.2%
77,TO,Universidade de Guripi,4,0.16%
78,MG,Universidade Federal de São João del Rei,4,0.16%
79,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",4,0.16%
80,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,4,0.16%
81,BA,Universidade Federal da Bahia,4,0.16%
82,MG,Universidade do Estado de Minas Gerais,4,0.16%
83,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,3,0.12%
84,PA,Universidade Federal do Sul e Sudeste do Pará,3,0.12%
85,PI,Universidade Federal do Delta do Parnaíba,3,0.12%
86,RN,Universidade Federal Rural do Semi-Árido,3,0.12%
87,PR,Instituto Federal do Paraná,2,0.08%
88,AP,Universidade Estado do Amapá,2,0.08%
89,BA,Universidade Federal do Oeste da Bahia,2,0.08%
90,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,2,0.08%
91,GO,Instituto Federal de Goiás,2,0.08%
92,MA,Universidade Estadual do Maranhão,2,0.08%
93,MG,Universidade Estadual de Montes Claros,2,0.08%
94,AC,Colégio de Aplicação da Universidade Federal do Acre,2,0.08%
95,PE,Universidade Federal do Agreste de Pernambuco,2,0.08%
96,RJ,Universidade do Rio de Janeiro,2,0.08%
97,MG,Universidade Federal do Triângulo Mineiro,2,0.08%
98,RO,Instituto Federal de Rondônia,1,0.04%
99,SP,Colégio Técnico de Campinas,1,0.04%
100,TO,Universidade Federal do Norte de Tocantins,1,0.04%
101,SP,Universidade Nove de Julho,1,0.04%
102,BA,Ceep em Biotecnologia e Saúde,1,0.04%
103,RJ,Colégio de Aplicação da Universidade do Estado do Rio de Janeiro,1,0.04%
104,RJ,Secretaria de Estado de Educação do Rio de Janeiro,1,0.04%
105,PA,Instituto Federal do Pará Campus Castanhal,1,0.04%
106,SP,Universidade Estadual Paulista,1,0.04%
107,SP,Rede Municipal de Diadema,1,0.04%
108,SP,Instituto Federal de São Paulo,1,0.04%
109,SP,Faculdade de Medicina de Jundiaí,1,0.04%
110,ES,Faculdade de Música do Espírito Santo,1,0.04%
111,ES,Associação Brasileira de Odontologia do Espírito Santo,1,0.04%
112,MT,Instituto Saberes,1,0.04%
113,RS,Universidade de Santa Cruz do Sul,1,0.04%
114,GO,Instituto Federal de Goiás Campus Goiânia Oeste,1,0.04%
115,RS,Universidade Federal do Pampa,1,0.04%
116,MA,Instituto Federal do Maranhão,1,0.04%
117,MA,Universidade Estadual da Região Tocantina do Maranhão,1,0.04%
118,RJ,Universidade Federal do Estado do Rio de Janeiro,1,0.04%
119,MT,Instituto Federal do Mato Grosso,1,0.04%
120,RS,Eeiem Nhamandu Nhemopu'ã,1,0.04%
121,MG,Universidade Federal de Alfenas,1,0.04%
122,MG,Universidade Federal de Itajubá,1,0.04%
123,MG,Instituto Federal do Sudeste Mineiro,1,0.04%
