,UF,Instituição de Ensino,Contagem,Proporção
0,ES,Universidade Federal do Espírito Santo,45,31.91%
1,MS,Universidade Estadual de Mato Grosso do Sul,7,4.96%
2,PR,Universidade Estadual de Maringá,6,4.26%
3,AM,Universidade Federal do Amazonas,5,3.55%
4,MT,Universidade do Estado de Mato Grosso,5,3.55%
5,RS,Universidade Federal de Pelotas,4,2.84%
6,CE,Universidade Estadual Vale do Acaraú,4,2.84%
7,PE,Universidade Federal Rural de Pernambuco,4,2.84%
8,MT,Universidade Federal do Mato Grosso,4,2.84%
9,RS,Universidade Federal do Rio Grande do Sul,4,2.84%
10,PR,Universidade Estadual do Oeste do Paraná,3,2.13%
11,SP,Universidade Estadual de Campinas,3,2.13%
12,RJ,Universidade do Estado do Rio de Janeiro,3,2.13%
13,PB,Universidade Federal da Paraíba,3,2.13%
14,AL,Universidade Federal de Alagoas,2,1.42%
15,PR,Universidade Estadual de Londrina,2,1.42%
16,RS,Universidade Federal de Rio Grande,2,1.42%
17,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,2,1.42%
18,DF,Universidade de Brasília,2,1.42%
19,CE,Universidade Federal do Ceará,2,1.42%
20,SE,Universidade Federal de Sergipe,2,1.42%
21,BA,Universidade do Estado da Bahia,2,1.42%
22,SP,Universidade de São Paulo,2,1.42%
23,BA,Universidade Estadual de Feira de Santana,2,1.42%
24,SC,Universidade do Estado de Santa Catarina,1,0.71%
25,RR,Universidade Federal de Roraima,1,0.71%
26,RO,Universidade Federal de Rondônia,1,0.71%
27,SP,Universidade Federal do ABC,1,0.71%
28,RJ,Universidade Federal do Rio de Janeiro,1,0.71%
29,RJ,Universidade Estadual do Norte Fluminense,1,0.71%
30,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,1,0.71%
31,PR,Universidade Tecnológica Federal do Paraná,1,0.71%
32,PR,Universidade Federal da Integração Latino-Americana,1,0.71%
33,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",1,0.71%
34,AM,Universidade Estadual do Amazonas,1,0.71%
35,PA,Universidade Federal do Pará,1,0.71%
36,MG,Universidade Federal de Viçosa,1,0.71%
37,MG,Universidade Federal de Uberlândia,1,0.71%
38,MG,Centro Federal de Educação Tecnológica de Minas Gerais,1,0.71%
39,MA,Universidade Federal do Maranhão,1,0.71%
40,CE,Universidade Estadual do Ceará,1,0.71%
41,BA,Universidade Federal do Sul da Bahia,1,0.71%
42,BA,Universidade Federal do Oeste da Bahia,1,0.71%
43,BA,Universidade Estadual de Santa Cruz,1,0.71%
44,TO,Universidade de Guripi,1,0.71%
