,UF,Instituição de Ensino,Contagem,Proporção
0,ES,Universidade Federal do Espírito Santo,70,31.96%
1,SP,Universidade Estadual de Campinas,13,5.94%
2,PB,Universidade Estadual da Paraíba,8,3.65%
3,MT,Universidade Federal do Mato Grosso,7,3.2%
4,MS,Universidade Estadual de Mato Grosso do Sul,7,3.2%
5,MA,Universidade Federal do Maranhão,7,3.2%
6,PR,Universidade Estadual de Maringá,6,2.74%
7,MT,Universidade do Estado de Mato Grosso,6,2.74%
8,AM,Universidade Federal do Amazonas,5,2.28%
9,BA,Universidade do Estado da Bahia,5,2.28%
10,MG,Centro Federal de Educação Tecnológica de Minas Gerais,5,2.28%
11,RS,Universidade Federal do Rio Grande do Sul,4,1.83%
12,PE,Universidade Federal Rural de Pernambuco,4,1.83%
13,RS,Universidade Federal de Pelotas,4,1.83%
14,MG,Universidade Federal de Uberlândia,4,1.83%
15,CE,Universidade Estadual Vale do Acaraú,4,1.83%
16,DF,Universidade de Brasília,3,1.37%
17,RJ,Universidade do Estado do Rio de Janeiro,3,1.37%
18,PR,Universidade Estadual do Oeste do Paraná,3,1.37%
19,SP,Universidade de São Paulo,3,1.37%
20,SE,Universidade Federal de Sergipe,3,1.37%
21,PB,Universidade Federal da Paraíba,3,1.37%
22,MG,Universidade Federal de Viçosa,2,0.91%
23,BA,Universidade Estadual de Feira de Santana,2,0.91%
24,CE,Universidade Federal do Ceará,2,0.91%
25,PR,Universidade Federal da Integração Latino-Americana,2,0.91%
26,PR,Universidade Estadual de Londrina,2,0.91%
27,BA,Universidade Estadual do Sudoeste da Bahia,2,0.91%
28,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,2,0.91%
29,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,2,0.91%
30,GO,Universidade Estadual de Goiás,2,0.91%
31,AL,Universidade Federal de Alagoas,2,0.91%
32,RS,Universidade Federal de Rio Grande,2,0.91%
33,RJ,Universidade Estadual do Norte Fluminense,1,0.46%
34,SC,Universidade do Estado de Santa Catarina,1,0.46%
35,RO,Universidade Federal de Rondônia,1,0.46%
36,SP,Universidade Federal do ABC,1,0.46%
37,RJ,Universidade Federal do Rio de Janeiro,1,0.46%
38,RR,Universidade Federal de Roraima,1,0.46%
39,AC,Universidade Federal do Acre,1,0.46%
40,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,1,0.46%
41,PR,Universidade Tecnológica Federal do Paraná,1,0.46%
42,PR,Universidade Estadual do Paraná,1,0.46%
43,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",1,0.46%
44,PA,Universidade Federal do Pará,1,0.46%
45,PA,Universidade Federal do Oeste do Pará,1,0.46%
46,ES,Faculdade de Música do Espírito Santo,1,0.46%
47,CE,Universidade Estadual do Ceará,1,0.46%
48,BA,Universidade Federal do Sul da Bahia,1,0.46%
49,BA,Universidade Federal do Oeste da Bahia,1,0.46%
50,BA,Universidade Estadual de Santa Cruz,1,0.46%
51,AP,Universidade Federal do Amapá,1,0.46%
52,TO,Universidade de Guripi,1,0.46%
