,UF,Instituição de Ensino,Contagem,Proporção
0,ES,Universidade Federal do Espírito Santo,89,5.12%
1,SP,Universidade Estadual de Campinas,85,4.89%
2,RJ,Universidade do Estado do Rio de Janeiro,66,3.8%
3,PE,Universidade Federal do Vale do São Francisco,61,3.51%
4,SP,Universidade Federal do ABC,58,3.34%
5,MA,Universidade Federal do Maranhão,53,3.05%
6,PR,Universidade Estadual de Londrina,52,2.99%
7,RS,Universidade Federal do Rio Grande do Sul,46,2.65%
8,BA,Universidade do Estado da Bahia,46,2.65%
9,RJ,Universidade Estadual do Norte Fluminense,42,2.42%
10,PR,Universidade Estadual do Oeste do Paraná,42,2.42%
11,BA,Universidade Estadual de Santa Cruz,41,2.36%
12,PE,Universidade Federal Rural de Pernambuco,40,2.3%
13,CE,Universidade Estadual do Ceará,40,2.3%
14,BA,Universidade Estadual de Feira de Santana,36,2.07%
15,MT,Universidade do Estado de Mato Grosso,36,2.07%
16,RS,Universidade Federal de Pelotas,35,2.01%
17,BA,Universidade Federal do Sul da Bahia,35,2.01%
18,MG,Centro Federal de Educação Tecnológica de Minas Gerais,33,1.9%
19,AM,Universidade Federal do Amazonas,32,1.84%
20,RJ,Universidade Federal do Rio de Janeiro,30,1.73%
21,PI,Universidade Federal do Piauí,29,1.67%
22,PR,Universidade Estadual de Maringá,29,1.67%
23,RO,Universidade Federal de Rondônia,26,1.5%
24,MT,Universidade Federal do Mato Grosso,26,1.5%
25,DF,Universidade de Brasília,26,1.5%
26,MG,Universidade Federal de Viçosa,25,1.44%
27,AL,Universidade Federal de Alagoas,24,1.38%
28,PR,Universidade Tecnológica Federal do Paraná,23,1.32%
29,PA,Universidade do Estado do Pará,23,1.32%
30,PR,Universidade Estadual do Paraná,23,1.32%
31,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,20,1.15%
32,SC,Universidade do Estado de Santa Catarina,19,1.09%
33,CE,Universidade Federal do Ceará,19,1.09%
34,AC,Universidade Federal do Acre,17,0.98%
35,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,16,0.92%
36,MG,Universidade Federal de Lavras,16,0.92%
37,PR,Universidade Estadual de Ponta Grossa,16,0.92%
