,UF,Instituição de Ensino,Contagem,Proporção
38,SP,Universidade de São Paulo,15,0.86%
39,MT,Universidade Federal de Rondonópolis,15,0.86%
40,MG,Universidade Federal de Uberlândia,15,0.86%
41,PR,Universidade Federal do Paraná,15,0.86%
42,CE,Universidade Regional do Cariri,14,0.81%
43,SE,Universidade Federal de Sergipe,13,0.75%
44,PE,Universidade de Pernambuco,13,0.75%
45,PA,Universidade Federal do Oeste do Pará,13,0.75%
46,RJ,Universidade Federal Fluminense,11,0.63%
47,AP,Universidade Federal do Amapá,10,0.58%
48,PI,Universidade Estadual do Piauí,10,0.58%
49,SP,Universidade Federal de São Carlos,10,0.58%
50,RR,Universidade Federal de Roraima,10,0.58%
51,BA,Universidade Estadual do Sudoeste da Bahia,10,0.58%
52,DF,Universidade do Distrito Federal,10,0.58%
53,MS,Universidade Estadual de Mato Grosso do Sul,9,0.52%
54,PB,Universidade Federal da Paraíba,8,0.46%
55,MS,Universidade Federal de Dourados,8,0.46%
56,PR,Universidade Estadual do Norte do Paraná,8,0.46%
57,PR,Universidade Federal da Integração Latino-Americana,7,0.4%
58,PA,Universidade Federal do Pará,7,0.4%
59,PA,Universidade Federal Rural da Amazônia,7,0.4%
60,PB,Universidade Estadual da Paraíba,6,0.35%
61,BA,Universidade Federal do Recôncavo da Bahia,6,0.35%
62,RS,Instituto Federal do Rio Grande do Sul,6,0.35%
63,RR,Universidade Estadual de Roraima,5,0.29%
64,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,5,0.29%
65,SC,Universidade Federal da Fronteira Sul,5,0.29%
66,PE,Universidade Federal de Pernambuco,5,0.29%
67,PR,Universidade Estadual do Centro-Oeste,5,0.29%
68,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",5,0.29%
69,RN,Universidade Federal do Rio Grande do Norte,5,0.29%
70,RS,Universidade Federal de Rio Grande,4,0.23%
71,MG,Universidade Federal de Ouro Preto,4,0.23%
72,RS,Universidade Federal de Santa Maria,4,0.23%
73,GO,Universidade Estadual de Goiás,4,0.23%
74,MG,Universidade Federal de São João del Rei,4,0.23%
75,BA,Universidade Federal da Bahia,3,0.17%
76,MG,Universidade Federal de Juiz de Fora,3,0.17%
77,SP,Universidade Federal de São Paulo,3,0.17%
78,RJ,Universidade do Rio de Janeiro,2,0.12%
79,AC,Colégio de Aplicação da Universidade Federal do Acre,2,0.12%
80,TO,Universidade de Guripi,2,0.12%
81,PI,Universidade Federal do Delta do Parnaíba,2,0.12%
82,GO,Instituto Federal de Goiás,2,0.12%
83,MG,Universidade do Estado de Minas Gerais,2,0.12%
84,PA,Universidade Federal do Sul e Sudeste do Pará,2,0.12%
85,PE,Universidade Federal do Agreste de Pernambuco,2,0.12%
86,PB,Universidade Federal de Campina Grande,2,0.12%
87,PR,Instituto Federal do Paraná,2,0.12%
88,BA,Universidade Federal do Oeste da Bahia,2,0.12%
89,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,1,0.06%
90,MA,Universidade Estadual do Maranhão,1,0.06%
91,SP,Universidade Nove de Julho,1,0.06%
92,ES,Associação Brasileira de Odontologia do Espírito Santo,1,0.06%
93,ES,Faculdade de Música do Espírito Santo,1,0.06%
94,TO,Universidade Federal do Norte de Tocantins,1,0.06%
95,SP,Rede Municipal de Diadema,1,0.06%
96,SP,Faculdade de Medicina de Jundiaí,1,0.06%
97,MA,Universidade Estadual da Região Tocantina do Maranhão,1,0.06%
98,RJ,Universidade Federal do Estado do Rio de Janeiro,1,0.06%
99,MG,Instituto Federal do Sudeste Mineiro,1,0.06%
100,RS,Universidade de Santa Cruz do Sul,1,0.06%
101,MG,Universidade Estadual de Montes Claros,1,0.06%
102,RJ,Secretaria de Estado de Educação do Rio de Janeiro,1,0.06%
103,MG,Universidade Federal de Itajubá,1,0.06%
104,MG,Universidade Federal do Triângulo Mineiro,1,0.06%
105,PA,Instituto Federal do Pará Campus Castanhal,1,0.06%
106,RO,Instituto Federal de Rondônia,1,0.06%
107,RN,Universidade Federal Rural do Semi-Árido,1,0.06%
108,RJ,Colégio de Aplicação da Universidade do Estado do Rio de Janeiro,1,0.06%
109,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,1,0.06%
110,RS,Universidade Federal do Pampa,1,0.06%
