,uf_instituicao,instituicao,contagem
0,ES,Universidade Federal do Espírito Santo,94
1,RJ,Universidade do Estado do Rio de Janeiro,92
2,SP,Universidade Federal do ABC,87
3,SP,Universidade Estadual de Campinas,83
4,PE,Universidade Federal do Vale do São Francisco,82
5,PR,Universidade Estadual de Londrina,71
6,RS,Universidade Federal do Rio Grande do Sul,64
7,PE,Universidade Federal Rural de Pernambuco,60
8,RS,Universidade Federal de Pelotas,54
9,PR,Universidade Estadual do Oeste do Paraná,53
10,CE,Universidade Estadual do Ceará,53
11,BA,Universidade Federal do Sul da Bahia,51
12,RJ,Universidade Estadual do Norte Fluminense,51
13,MT,Universidade do Estado de Mato Grosso,49
14,BA,Universidade Estadual de Santa Cruz,48
15,BA,Universidade Estadual de Feira de Santana,48
16,AM,Universidade Federal do Amazonas,42
17,BA,Universidade do Estado da Bahia,41
18,RJ,Universidade Federal do Rio de Janeiro,41
19,MA,Universidade Federal do Maranhão,41
20,MT,Universidade Federal do Mato Grosso,40
21,PI,Universidade Federal do Piauí,39
22,PR,Universidade Estadual do Paraná,38
23,RO,Universidade Federal de Rondônia,38
24,PR,Universidade Estadual de Maringá,35
25,MG,Centro Federal de Educação Tecnológica de Minas Gerais,35
26,DF,Universidade de Brasília,35
27,PA,Universidade do Estado do Pará,33
28,MG,Universidade Federal de Viçosa,32
29,AL,Universidade Federal de Alagoas,31
30,PR,Universidade Tecnológica Federal do Paraná,26
31,CE,Universidade Federal do Ceará,25
32,SC,Universidade do Estado de Santa Catarina,25
33,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,25
34,SP,Universidade de São Paulo,23
35,MG,Universidade Federal de Uberlândia,23
36,AC,Universidade Federal do Acre,22
37,MT,Universidade Federal de Rondonópolis,21
38,DF,Universidade do Distrito Federal,21
39,MG,Universidade Federal de Lavras,20
40,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,20
41,PR,Universidade Federal do Paraná,20
42,PR,Universidade Estadual de Ponta Grossa,19
43,CE,Universidade Regional do Cariri,19
44,PE,Universidade de Pernambuco,18
45,MS,Universidade Estadual de Mato Grosso do Sul,18
46,BA,Universidade Estadual do Sudoeste da Bahia,16
47,SE,Universidade Federal de Sergipe,16
48,PA,Universidade Federal do Oeste do Pará,15
49,SP,Universidade Federal de São Carlos,14
50,PA,Universidade Federal Rural da Amazônia,14
51,AP,Universidade Federal do Amapá,12
52,RJ,Universidade Federal Fluminense,11
53,PI,Universidade Estadual do Piauí,11
54,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",11
55,PR,Universidade Estadual do Norte do Paraná,11
56,RR,Universidade Federal de Roraima,10
