,uf_instituicao,instituicao,contagem
0,ES,Universidade Federal do Espírito Santo,26
1,SP,Universidade Estadual de Campinas,5
2,MS,Universidade Estadual de Mato Grosso do Sul,4
3,DF,Universidade de Brasília,3
4,MA,Universidade Federal do Maranhão,3
5,RS,Universidade Federal do Rio Grande do Sul,2
6,MG,Universidade Federal de Viçosa,2
7,PR,Universidade Estadual de Maringá,2
8,MT,Universidade Federal do Mato Grosso,2
9,MT,Universidade do Estado de Mato Grosso,2
10,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,1
11,RR,Universidade Federal de Roraima,1
12,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1
13,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,1
14,PR,Universidade Estadual do Oeste do Paraná,1
15,AC,Universidade Federal do Acre,1
16,PB,Universidade Estadual da Paraíba,1
17,AM,Universidade Federal do Amazonas,1
18,ES,Faculdade de Música do Espírito Santo,1
19,CE,Universidade Federal do Ceará,1
20,CE,Universidade Estadual Vale do Acaraú,1
21,BA,Universidade do Estado da Bahia,1
22,BA,Universidade Federal do Sul da Bahia,1
23,BA,Universidade Federal do Oeste da Bahia,1
24,SP,Universidade Federal do ABC,1
