,UF,Instituição de Ensino,Contagem,Proporção
0,ES,Universidade Federal do Espírito Santo,16,34.04%
1,MS,Universidade Estadual de Mato Grosso do Sul,4,8.51%
2,DF,Universidade de Brasília,3,6.38%
3,MT,Universidade do Estado de Mato Grosso,2,4.26%
4,RS,Universidade Federal do Rio Grande do Sul,2,4.26%
5,PR,Universidade Estadual de Maringá,2,4.26%
6,MG,Universidade Federal de Viçosa,2,4.26%
7,MT,Universidade Federal do Mato Grosso,2,4.26%
8,SP,Universidade Estadual de Campinas,1,2.13%
9,RR,Universidade Federal de Roraima,1,2.13%
10,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1,2.13%
11,PR,Universidade Estadual do Oeste do Paraná,1,2.13%
12,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,1,2.13%
13,AM,Universidade Federal do Amazonas,1,2.13%
14,BA,Universidade Federal do Oeste da Bahia,1,2.13%
15,MA,Universidade Federal do Maranhão,1,2.13%
16,ES,Faculdade de Música do Espírito Santo,1,2.13%
17,CE,Universidade Federal do Ceará,1,2.13%
18,CE,Universidade Estadual Vale do Acaraú,1,2.13%
19,BA,Universidade do Estado da Bahia,1,2.13%
20,BA,Universidade Federal do Sul da Bahia,1,2.13%
21,SP,Universidade Federal do ABC,1,2.13%
