,UF,Instituição de Ensino,Contagem,Proporção
0,ES,Universidade Federal do Espírito Santo,10,11.11%
1,MS,Universidade Estadual de Mato Grosso do Sul,7,7.78%
2,PR,Universidade Estadual de Maringá,6,6.67%
3,MT,Universidade do Estado de Mato Grosso,5,5.56%
4,MT,Universidade Federal do Mato Grosso,4,4.44%
5,AM,Universidade Federal do Amazonas,4,4.44%
6,RS,Universidade Federal de Pelotas,4,4.44%
7,PR,Universidade Estadual do Oeste do Paraná,3,3.33%
8,RJ,Universidade do Estado do Rio de Janeiro,3,3.33%
9,CE,Universidade Estadual Vale do Acaraú,3,3.33%
10,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,2,2.22%
11,RS,Universidade Federal de Rio Grande,2,2.22%
12,SE,Universidade Federal de Sergipe,2,2.22%
13,PR,Universidade Estadual de Londrina,2,2.22%
14,PB,Universidade Federal da Paraíba,2,2.22%
15,SP,Universidade de São Paulo,2,2.22%
16,AL,Universidade Federal de Alagoas,2,2.22%
17,PE,Universidade Federal Rural de Pernambuco,2,2.22%
18,BA,Universidade do Estado da Bahia,2,2.22%
19,PA,Universidade Federal do Pará,1,1.11%
20,MG,Universidade Federal de Uberlândia,1,1.11%
21,BA,Universidade Estadual de Feira de Santana,1,1.11%
22,SP,Universidade Federal do ABC,1,1.11%
23,BA,Universidade Federal do Oeste da Bahia,1,1.11%
24,SC,Universidade do Estado de Santa Catarina,1,1.11%
25,RS,Universidade Federal do Rio Grande do Sul,1,1.11%
26,BA,Universidade Federal do Sul da Bahia,1,1.11%
27,RR,Universidade Federal de Roraima,1,1.11%
28,RO,Universidade Federal de Rondônia,1,1.11%
29,CE,Universidade Estadual do Ceará,1,1.11%
30,RJ,Universidade Federal do Rio de Janeiro,1,1.11%
31,RJ,Universidade Estadual do Norte Fluminense,1,1.11%
32,CE,Universidade Federal do Ceará,1,1.11%
33,PR,Universidade Tecnológica Federal do Paraná,1,1.11%
34,PR,Universidade Federal da Integração Latino-Americana,1,1.11%
35,DF,Universidade de Brasília,1,1.11%
36,MA,Universidade Federal do Maranhão,1,1.11%
37,MG,Centro Federal de Educação Tecnológica de Minas Gerais,1,1.11%
38,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",1,1.11%
39,AM,Universidade Estadual do Amazonas,1,1.11%
40,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,1,1.11%
41,TO,Universidade de Guripi,1,1.11%
