,UF,Instituição de Ensino,Contagem,Proporção
0,SP,Universidade Estadual de Campinas,118,5.42%
1,ES,Universidade Federal do Espírito Santo,112,5.14%
2,MA,Universidade Federal do Maranhão,68,3.12%
3,RJ,Universidade do Estado do Rio de Janeiro,66,3.03%
4,PR,Universidade Estadual de Londrina,64,2.94%
5,PE,Universidade Federal do Vale do São Francisco,61,2.8%
6,SP,Universidade Federal do ABC,59,2.71%
7,BA,Universidade do Estado da Bahia,55,2.52%
8,BA,Universidade Estadual de Santa Cruz,53,2.43%
9,RS,Universidade Federal do Rio Grande do Sul,48,2.2%
10,RJ,Universidade Estadual do Norte Fluminense,47,2.16%
11,CE,Universidade Estadual do Ceará,46,2.11%
12,PR,Universidade Estadual do Oeste do Paraná,45,2.07%
13,PE,Universidade Federal Rural de Pernambuco,40,1.84%
14,MG,Centro Federal de Educação Tecnológica de Minas Gerais,40,1.84%
15,BA,Universidade Estadual de Feira de Santana,39,1.79%
16,MG,Universidade Federal de Lavras,39,1.79%
17,MT,Universidade do Estado de Mato Grosso,37,1.7%
18,AM,Universidade Federal do Amazonas,36,1.65%
19,RS,Universidade Federal de Pelotas,36,1.65%
20,PR,Universidade Estadual de Maringá,36,1.65%
21,DF,Universidade de Brasília,35,1.61%
22,BA,Universidade Federal do Sul da Bahia,35,1.61%
23,PR,Universidade Tecnológica Federal do Paraná,34,1.56%
24,AC,Universidade Federal do Acre,33,1.51%
25,RJ,Universidade Federal do Rio de Janeiro,33,1.51%
26,PR,Universidade Estadual do Paraná,33,1.51%
27,PI,Universidade Federal do Piauí,30,1.38%
28,PR,Universidade Federal da Integração Latino-Americana,28,1.28%
29,MG,Universidade Federal de Viçosa,28,1.28%
30,MG,Universidade Federal de São João del Rei,28,1.28%
31,MT,Universidade Federal do Mato Grosso,27,1.24%
32,RO,Universidade Federal de Rondônia,27,1.24%
33,RS,Universidade Federal de Santa Maria,25,1.15%
34,PA,Universidade do Estado do Pará,25,1.15%
35,AL,Universidade Federal de Alagoas,24,1.1%
36,SP,Universidade de São Paulo,23,1.06%
37,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",22,1.01%
38,BA,Universidade Estadual do Sudoeste da Bahia,22,1.01%
39,CE,Universidade Federal do Ceará,21,0.96%
40,MG,Universidade Federal de Uberlândia,21,0.96%
41,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,21,0.96%
42,PR,Universidade Estadual de Ponta Grossa,21,0.96%
43,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,20,0.92%
44,MS,Universidade Federal de Dourados,20,0.92%
45,SC,Universidade do Estado de Santa Catarina,20,0.92%
46,GO,Universidade Estadual de Goiás,17,0.78%
47,MT,Universidade Federal de Rondonópolis,16,0.73%
48,PR,Universidade Federal do Paraná,16,0.73%
49,PB,Universidade Estadual da Paraíba,16,0.73%
50,SE,Universidade Federal de Sergipe,15,0.69%
51,PA,Universidade Federal Rural da Amazônia,15,0.69%
52,CE,Universidade Regional do Cariri,14,0.64%
53,PA,Universidade Federal do Oeste do Pará,13,0.6%
54,PE,Universidade de Pernambuco,13,0.6%
55,RJ,Universidade Federal Fluminense,11,0.5%
56,MG,Universidade Federal de Ouro Preto,11,0.5%
57,SP,Universidade Federal de São Carlos,11,0.5%
58,PI,Universidade Estadual do Piauí,11,0.5%
59,RR,Universidade Federal de Roraima,10,0.46%
60,DF,Universidade do Distrito Federal,10,0.46%
61,AP,Universidade Federal do Amapá,10,0.46%
62,PR,Universidade Estadual do Norte do Paraná,9,0.41%
63,MS,Universidade Estadual de Mato Grosso do Sul,9,0.41%
64,RS,Universidade Federal de Rio Grande,9,0.41%
65,PB,Universidade Federal da Paraíba,9,0.41%
66,PA,Universidade Federal do Pará,8,0.37%
67,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,8,0.37%
68,RS,Instituto Federal do Rio Grande do Sul,7,0.32%
69,BA,Universidade Federal do Oeste da Bahia,7,0.32%
70,BA,Universidade Federal do Recôncavo da Bahia,7,0.32%
71,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",7,0.32%
72,BA,Universidade Federal da Bahia,6,0.28%
73,SC,Universidade Federal da Fronteira Sul,5,0.23%
74,SP,Universidade Federal de São Paulo,5,0.23%
75,RR,Universidade Estadual de Roraima,5,0.23%
76,PR,Universidade Estadual do Centro-Oeste,5,0.23%
77,RN,Universidade Federal do Rio Grande do Norte,5,0.23%
78,PE,Universidade Federal de Pernambuco,5,0.23%
79,MG,Universidade Federal de Juiz de Fora,3,0.14%
80,GO,Universidade Federal de Catalão,3,0.14%
81,MG,Universidade do Estado de Minas Gerais,3,0.14%
82,RJ,Universidade do Rio de Janeiro,2,0.09%
83,RJ,Universidade Federal do Estado do Rio de Janeiro,2,0.09%
84,AC,Colégio de Aplicação da Universidade Federal do Acre,2,0.09%
85,TO,Universidade de Guripi,2,0.09%
86,PR,Instituto Federal do Paraná,2,0.09%
87,GO,Instituto Federal de Goiás,2,0.09%
88,PA,Universidade Federal do Sul e Sudeste do Pará,2,0.09%
89,PB,Universidade Federal de Campina Grande,2,0.09%
90,PI,Universidade Federal do Delta do Parnaíba,2,0.09%
91,PE,Universidade Federal do Agreste de Pernambuco,2,0.09%
92,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,2,0.09%
93,MA,Universidade Estadual do Maranhão,1,0.05%
94,SP,Universidade Nove de Julho,1,0.05%
95,CE,Instituto Federal do Ceará,1,0.05%
96,ES,Associação Brasileira de Odontologia do Espírito Santo,1,0.05%
97,ES,Faculdade de Música do Espírito Santo,1,0.05%
98,TO,Universidade Federal do Norte de Tocantins,1,0.05%
99,SP,Rede Municipal de Diadema,1,0.05%
100,SP,Faculdade de Medicina de Jundiaí,1,0.05%
101,MA,Universidade Estadual da Região Tocantina do Maranhão,1,0.05%
102,RJ,Secretaria de Estado de Educação do Rio de Janeiro,1,0.05%
103,MG,Instituto Federal do Sudeste Mineiro,1,0.05%
104,RS,Universidade de Santa Cruz do Sul,1,0.05%
105,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,1,0.05%
106,RS,Universidade Federal do Pampa,1,0.05%
107,MG,Universidade Federal de Itajubá,1,0.05%
108,MG,Universidade Federal do Triângulo Mineiro,1,0.05%
109,PA,Instituto Federal do Pará Campus Castanhal,1,0.05%
110,RO,Instituto Federal de Rondônia,1,0.05%
111,PR,Instituto Federal do Paraná Campus Cascavel,1,0.05%
112,RN,Universidade Federal Rural do Semi-Árido,1,0.05%
113,RJ,Colégio de Aplicação da Universidade do Estado do Rio de Janeiro,1,0.05%
114,MG,Universidade Estadual de Montes Claros,1,0.05%
