,UF,Instituição de Ensino,Contagem,Proporção
0,ES,Universidade Federal do Espírito Santo,33,29.46%
1,MG,Centro Federal de Educação Tecnológica de Minas Gerais,5,4.46%
2,MT,Universidade Federal do Mato Grosso,5,4.46%
3,RS,Universidade Federal de Pelotas,4,3.57%
4,PR,Universidade Estadual de Maringá,4,3.57%
5,AM,Universidade Federal do Amazonas,4,3.57%
6,PE,Universidade Federal Rural de Pernambuco,4,3.57%
7,MT,Universidade do Estado de Mato Grosso,4,3.57%
8,MS,Universidade Estadual de Mato Grosso do Sul,3,2.68%
9,PB,Universidade Federal da Paraíba,3,2.68%
10,RJ,Universidade do Estado do Rio de Janeiro,3,2.68%
11,CE,Universidade Estadual Vale do Acaraú,3,2.68%
12,BA,Universidade do Estado da Bahia,3,2.68%
13,SP,Universidade Estadual de Campinas,3,2.68%
14,RS,Universidade Federal do Rio Grande do Sul,2,1.79%
15,SE,Universidade Federal de Sergipe,2,1.79%
16,RS,Universidade Federal de Rio Grande,2,1.79%
17,PR,Universidade Estadual de Londrina,2,1.79%
18,BA,Universidade Estadual de Feira de Santana,2,1.79%
19,PR,Universidade Estadual do Oeste do Paraná,2,1.79%
20,SP,Universidade de São Paulo,2,1.79%
21,AL,Universidade Federal de Alagoas,2,1.79%
22,RJ,Universidade Federal do Rio de Janeiro,1,0.89%
23,SC,Universidade do Estado de Santa Catarina,1,0.89%
24,RO,Universidade Federal de Rondônia,1,0.89%
25,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",1,0.89%
26,RJ,Universidade Estadual do Norte Fluminense,1,0.89%
27,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1,0.89%
28,PR,Universidade Tecnológica Federal do Paraná,1,0.89%
29,PR,Universidade Federal da Integração Latino-Americana,1,0.89%
30,PA,Universidade Federal do Pará,1,0.89%
31,MG,Universidade Federal de Uberlândia,1,0.89%
32,CE,Universidade Federal do Ceará,1,0.89%
33,CE,Universidade Estadual do Ceará,1,0.89%
34,BA,Universidade Estadual de Santa Cruz,1,0.89%
35,AP,Universidade Federal do Amapá,1,0.89%
36,TO,Universidade de Guripi,1,0.89%
