,uf_instituicao,instituicao,contagem
0,SP,Universidade Estadual de Campinas,39
1,SP,Universidade Federal do ABC,29
2,BA,Universidade do Estado da Bahia,29
3,RJ,Universidade do Estado do Rio de Janeiro,26
4,ES,Universidade Federal do Espírito Santo,26
5,MA,Universidade Federal do Maranhão,22
6,PE,Universidade Federal do Vale do São Francisco,21
7,PR,Universidade Estadual de Londrina,20
8,PE,Universidade Federal Rural de Pernambuco,20
9,MG,Centro Federal de Educação Tecnológica de Minas Gerais,20
10,RS,Universidade Federal de Pelotas,19
11,RS,Universidade Federal do Rio Grande do Sul,18
12,BA,Universidade Estadual de Feira de Santana,17
13,BA,Universidade Federal do Sul da Bahia,16
14,PR,Universidade Estadual do Paraná,15
15,MT,Universidade Federal do Mato Grosso,14
16,CE,Universidade Estadual do Ceará,14
17,MT,Universidade do Estado de Mato Grosso,13
18,RJ,Universidade Federal do Rio de Janeiro,12
19,BA,Universidade Estadual de Santa Cruz,12
20,RO,Universidade Federal de Rondônia,12
21,PA,Universidade do Estado do Pará,11
22,PR,Universidade Estadual do Oeste do Paraná,11
23,DF,Universidade do Distrito Federal,11
24,AM,Universidade Federal do Amazonas,10
25,PI,Universidade Federal do Piauí,10
26,DF,Universidade de Brasília,10
27,SP,Universidade de São Paulo,9
28,MS,Universidade Estadual de Mato Grosso do Sul,9
29,RJ,Universidade Estadual do Norte Fluminense,9
30,MG,Universidade Federal de Uberlândia,8
31,MG,Universidade Federal de Viçosa,8
32,PR,Universidade Estadual de Maringá,7
33,PA,Universidade Federal Rural da Amazônia,7
34,AL,Universidade Federal de Alagoas,7
35,AC,Universidade Federal do Acre,7
36,SC,Universidade do Estado de Santa Catarina,7
37,PR,Universidade Federal do Paraná,7
38,BA,Universidade Estadual do Sudoeste da Bahia,7
39,MT,Universidade Federal de Rondonópolis,6
40,CE,Universidade Federal do Ceará,6
41,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",6
42,CE,Universidade Regional do Cariri,5
43,PB,Universidade Federal de Campina Grande,5
44,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,5
45,MG,Universidade Federal de Lavras,5
46,PE,Universidade de Pernambuco,5
47,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,5
48,SC,Universidade Federal da Fronteira Sul,4
49,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",4
50,RS,Instituto Federal do Rio Grande do Sul,4
51,SP,Universidade Federal de São Carlos,4
52,MG,Universidade Federal de Juiz de Fora,4
53,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,4
54,PE,Universidade Federal de Pernambuco,3
55,BA,Universidade Federal do Recôncavo da Bahia,3
56,MG,Universidade Federal de Ouro Preto,3
57,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,3
58,GO,Universidade Estadual de Goiás,3
59,PR,Universidade Estadual de Ponta Grossa,3
60,PR,Universidade Tecnológica Federal do Paraná,3
61,PR,Universidade Estadual do Norte do Paraná,3
62,SE,Universidade Federal de Sergipe,3
63,SP,Universidade Federal de São Paulo,2
64,RS,Universidade Federal de Santa Maria,2
65,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,2
66,RN,Universidade Federal Rural do Semi-Árido,2
67,PB,Universidade Estadual da Paraíba,2
68,PR,Universidade Federal da Integração Latino-Americana,2
69,PA,Universidade Federal do Oeste do Pará,2
70,AP,Universidade Estado do Amapá,2
71,AP,Universidade Federal do Amapá,2
72,PR,Universidade Estadual do Centro-Oeste,2
73,MG,Universidade do Estado de Minas Gerais,2
74,TO,Universidade de Guripi,2
75,PA,Universidade Federal do Pará,2
76,MT,Instituto Saberes,1
77,PI,Universidade Federal do Delta do Parnaíba,1
78,PI,Universidade Estadual do Piauí,1
79,BA,Ceep em Biotecnologia e Saúde,1
80,BA,Universidade Federal da Bahia,1
81,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,1
82,SP,Universidade Estadual Paulista,1
83,SP,Instituto Federal de São Paulo,1
84,SP,Colégio Técnico de Campinas,1
85,GO,Instituto Federal de Goiás Campus Goiânia Oeste,1
86,MA,Instituto Federal do Maranhão,1
87,MA,Universidade Estadual do Maranhão,1
88,MG,Universidade Estadual de Montes Claros,1
89,MG,Universidade Federal de Alfenas,1
90,PB,Universidade Federal da Paraíba,1
91,MG,Universidade Federal do Triângulo Mineiro,1
92,PA,Universidade Federal do Sul e Sudeste do Pará,1
93,MS,Universidade Federal de Dourados,1
94,RS,Eeiem Nhamandu Nhemopu'ã,1
95,MT,Instituto Federal do Mato Grosso,1
96,RS,Universidade Federal de Rio Grande,1
