,uf_instituicao,instituicao,contagem
0,RJ,Universidade do Estado do Rio de Janeiro,66
1,PE,Universidade Federal do Vale do São Francisco,61
2,SP,Universidade Federal do ABC,55
3,PR,Universidade Estadual de Londrina,51
4,SP,Universidade Estadual de Campinas,46
5,RS,Universidade Federal do Rio Grande do Sul,43
6,RJ,Universidade Estadual do Norte Fluminense,42
7,PR,Universidade Estadual do Oeste do Paraná,42
8,CE,Universidade Estadual do Ceará,38
9,PE,Universidade Federal Rural de Pernambuco,38
10,BA,Universidade Estadual de Santa Cruz,38
11,BA,Universidade Federal do Sul da Bahia,35
12,RS,Universidade Federal de Pelotas,35
13,ES,Universidade Federal do Espírito Santo,34
14,BA,Universidade Estadual de Feira de Santana,32
15,AM,Universidade Federal do Amazonas,32
16,PI,Universidade Federal do Piauí,28
17,RJ,Universidade Federal do Rio de Janeiro,28
18,PR,Universidade Estadual de Maringá,28
19,MT,Universidade do Estado de Mato Grosso,27
20,RO,Universidade Federal de Rondônia,26
21,MT,Universidade Federal do Mato Grosso,24
22,MG,Universidade Federal de Viçosa,24
23,AL,Universidade Federal de Alagoas,24
24,PR,Universidade Estadual do Paraná,23
25,PR,Universidade Tecnológica Federal do Paraná,22
26,PA,Universidade do Estado do Pará,22
27,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,20
28,CE,Universidade Federal do Ceará,19
29,MA,Universidade Federal do Maranhão,18
30,SC,Universidade do Estado de Santa Catarina,18
31,AC,Universidade Federal do Acre,16
32,PR,Universidade Estadual de Ponta Grossa,16
33,MT,Universidade Federal de Rondonópolis,15
34,MG,Universidade Federal de Uberlândia,15
35,MG,Universidade Federal de Lavras,15
36,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,15
37,SP,Universidade de São Paulo,14
38,CE,Universidade Regional do Cariri,14
39,PE,Universidade de Pernambuco,13
40,SE,Universidade Federal de Sergipe,13
41,PA,Universidade Federal do Oeste do Pará,13
42,PR,Universidade Federal do Paraná,13
43,RJ,Universidade Federal Fluminense,11
44,BA,Universidade do Estado da Bahia,11
45,SP,Universidade Federal de São Carlos,10
46,RR,Universidade Federal de Roraima,10
47,PI,Universidade Estadual do Piauí,9
48,BA,Universidade Estadual do Sudoeste da Bahia,9
49,MS,Universidade Estadual de Mato Grosso do Sul,8
50,PR,Universidade Estadual do Norte do Paraná,8
51,DF,Universidade de Brasília,8
52,PB,Universidade Federal da Paraíba,8
53,MS,Universidade Federal de Dourados,7
54,PA,Universidade Federal do Pará,7
55,PR,Universidade Federal da Integração Latino-Americana,7
56,PA,Universidade Federal Rural da Amazônia,7
57,DF,Universidade do Distrito Federal,6
58,PB,Universidade Estadual da Paraíba,6
59,PR,Universidade Estadual do Centro-Oeste,5
60,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,5
61,PE,Universidade Federal de Pernambuco,5
62,RN,Universidade Federal do Rio Grande do Norte,5
63,BA,Universidade Federal do Recôncavo da Bahia,5
64,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",5
65,SC,Universidade Federal da Fronteira Sul,5
66,AM,Universidade Estadual do Amazonas,4
67,RR,Universidade Estadual de Roraima,4
68,MG,Universidade Federal de São João del Rei,4
69,RS,Instituto Federal do Rio Grande do Sul,4
70,RS,Universidade Federal de Santa Maria,4
71,GO,Universidade Estadual de Goiás,4
72,MG,Universidade Federal de Ouro Preto,3
73,MG,Universidade Federal de Juiz de Fora,3
74,RJ,Universidade do Rio de Janeiro,2
75,SP,Universidade Federal de São Paulo,2
76,AC,Colégio de Aplicação da Universidade Federal do Acre,2
77,TO,Universidade de Guripi,2
78,BA,Universidade Federal da Bahia,2
79,GO,Instituto Federal de Goiás,2
80,MG,Universidade do Estado de Minas Gerais,2
81,PA,Universidade Federal do Sul e Sudeste do Pará,2
82,PB,Universidade Federal de Campina Grande,2
83,MG,Centro Federal de Educação Tecnológica de Minas Gerais,2
84,PE,Universidade Federal do Agreste de Pernambuco,2
85,PI,Universidade Federal do Delta do Parnaíba,2
86,PR,Instituto Federal do Paraná,2
87,AP,Universidade Federal do Amapá,2
88,MA,Universidade Estadual do Maranhão,1
89,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,1
90,ES,Associação Brasileira de Odontologia do Espírito Santo,1
91,SP,Rede Municipal de Diadema,1
92,SP,Faculdade de Medicina de Jundiaí,1
93,TO,Universidade Federal do Norte de Tocantins,1
94,MA,Universidade Estadual da Região Tocantina do Maranhão,1
95,BA,Universidade Federal do Oeste da Bahia,1
96,RJ,Secretaria de Estado de Educação do Rio de Janeiro,1
97,RS,Universidade de Santa Cruz do Sul,1
98,RS,Universidade Federal do Pampa,1
99,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,1
100,MG,Universidade Estadual de Montes Claros,1
101,MG,Universidade Federal de Itajubá,1
102,MG,Universidade Federal do Triângulo Mineiro,1
103,PA,Instituto Federal do Pará Campus Castanhal,1
104,RO,Instituto Federal de Rondônia,1
105,RN,Universidade Federal Rural do Semi-Árido,1
106,RJ,Universidade Federal do Estado do Rio de Janeiro,1
107,RJ,Colégio de Aplicação da Universidade do Estado do Rio de Janeiro,1
108,MG,Instituto Federal do Sudeste Mineiro,1
