,uf_instituicao,instituicao,contagem
0,SP,Universidade Federal do ABC,29
1,RJ,Universidade do Estado do Rio de Janeiro,26
2,SP,Universidade Estadual de Campinas,25
3,ES,Universidade Federal do Espírito Santo,23
4,PE,Universidade Federal do Vale do São Francisco,21
5,PE,Universidade Federal Rural de Pernambuco,20
6,BA,Universidade do Estado da Bahia,19
7,RS,Universidade Federal de Pelotas,19
8,PR,Universidade Estadual de Londrina,19
9,RS,Universidade Federal do Rio Grande do Sul,18
10,BA,Universidade Estadual de Feira de Santana,16
11,BA,Universidade Federal do Sul da Bahia,16
12,PR,Universidade Estadual do Paraná,15
13,CE,Universidade Estadual do Ceará,14
14,MT,Universidade Federal do Mato Grosso,14
15,MT,Universidade do Estado de Mato Grosso,13
16,MA,Universidade Federal do Maranhão,13
17,RJ,Universidade Federal do Rio de Janeiro,12
18,RO,Universidade Federal de Rondônia,12
19,DF,Universidade do Distrito Federal,11
20,PR,Universidade Estadual do Oeste do Paraná,11
21,AM,Universidade Federal do Amazonas,10
22,DF,Universidade de Brasília,10
23,MG,Centro Federal de Educação Tecnológica de Minas Gerais,10
24,PI,Universidade Federal do Piauí,10
25,BA,Universidade Estadual de Santa Cruz,10
26,PA,Universidade do Estado do Pará,10
27,RJ,Universidade Estadual do Norte Fluminense,9
28,MS,Universidade Estadual de Mato Grosso do Sul,9
29,SP,Universidade de São Paulo,9
30,MG,Universidade Federal de Uberlândia,8
31,MG,Universidade Federal de Viçosa,8
32,AL,Universidade Federal de Alagoas,7
33,PA,Universidade Federal Rural da Amazônia,7
34,PR,Universidade Federal do Paraná,7
35,PR,Universidade Estadual de Maringá,7
36,MT,Universidade Federal de Rondonópolis,6
37,AC,Universidade Federal do Acre,6
38,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",6
39,BA,Universidade Estadual do Sudoeste da Bahia,6
40,SC,Universidade do Estado de Santa Catarina,6
41,CE,Universidade Federal do Ceará,6
42,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,5
43,PB,Universidade Federal de Campina Grande,5
44,PE,Universidade de Pernambuco,5
45,MG,Universidade Federal de Lavras,5
46,CE,Universidade Regional do Cariri,5
47,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",4
48,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,4
49,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,4
50,MG,Universidade Federal de Juiz de Fora,4
51,SP,Universidade Federal de São Carlos,4
52,RS,Instituto Federal do Rio Grande do Sul,4
53,PR,Universidade Estadual de Ponta Grossa,3
54,PR,Universidade Tecnológica Federal do Paraná,3
55,PR,Universidade Estadual do Norte do Paraná,3
56,BA,Universidade Federal do Recôncavo da Bahia,3
57,PE,Universidade Federal de Pernambuco,3
58,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,3
59,SE,Universidade Federal de Sergipe,3
60,GO,Universidade Estadual de Goiás,3
61,SC,Universidade Federal da Fronteira Sul,3
62,MG,Universidade Federal de Ouro Preto,3
63,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,2
64,RS,Universidade Federal de Santa Maria,2
65,RN,Universidade Federal Rural do Semi-Árido,2
66,PB,Universidade Estadual da Paraíba,2
67,PR,Universidade Federal da Integração Latino-Americana,2
68,PA,Universidade Federal do Oeste do Pará,2
69,AP,Universidade Estado do Amapá,2
70,AP,Universidade Federal do Amapá,2
71,PR,Universidade Estadual do Centro-Oeste,2
72,MG,Universidade do Estado de Minas Gerais,2
73,TO,Universidade de Guripi,2
74,PA,Universidade Federal do Pará,2
75,GO,Instituto Federal de Goiás Campus Goiânia Oeste,1
76,PI,Universidade Federal do Delta do Parnaíba,1
77,PI,Universidade Estadual do Piauí,1
78,SP,Universidade Federal de São Paulo,1
79,BA,Ceep em Biotecnologia e Saúde,1
80,BA,Universidade Federal da Bahia,1
81,SP,Universidade Estadual Paulista,1
82,SP,Instituto Federal de São Paulo,1
83,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,1
84,MA,Instituto Federal do Maranhão,1
85,MT,Instituto Saberes,1
86,MG,Universidade Estadual de Montes Claros,1
87,MG,Universidade Federal de Alfenas,1
88,PB,Universidade Federal da Paraíba,1
89,MG,Universidade Federal do Triângulo Mineiro,1
90,PA,Universidade Federal do Sul e Sudeste do Pará,1
91,MS,Universidade Federal de Dourados,1
92,RS,Eeiem Nhamandu Nhemopu'ã,1
93,MT,Instituto Federal do Mato Grosso,1
94,RS,Universidade Federal de Rio Grande,1
