,uf_instituicao,instituicao,contagem
0,RJ,Universidade do Estado do Rio de Janeiro,91
1,PE,Universidade Federal do Vale do São Francisco,82
2,SP,Universidade Federal do ABC,81
3,PR,Universidade Estadual de Londrina,69
4,SP,Universidade Estadual de Campinas,66
5,RS,Universidade Federal do Rio Grande do Sul,60
6,PE,Universidade Federal Rural de Pernambuco,58
7,RS,Universidade Federal de Pelotas,54
8,PR,Universidade Estadual do Oeste do Paraná,53
9,CE,Universidade Estadual do Ceará,52
10,RJ,Universidade Estadual do Norte Fluminense,51
11,BA,Universidade Federal do Sul da Bahia,51
12,ES,Universidade Federal do Espírito Santo,50
13,BA,Universidade Estadual de Santa Cruz,48
14,BA,Universidade Estadual de Feira de Santana,46
15,AM,Universidade Federal do Amazonas,42
16,RJ,Universidade Federal do Rio de Janeiro,40
17,RO,Universidade Federal de Rondônia,38
18,PR,Universidade Estadual do Paraná,38
19,PI,Universidade Federal do Piauí,38
20,MT,Universidade do Estado de Mato Grosso,38
21,PR,Universidade Estadual de Maringá,35
22,MT,Universidade Federal do Mato Grosso,34
23,MG,Universidade Federal de Viçosa,32
24,PA,Universidade do Estado do Pará,31
25,AL,Universidade Federal de Alagoas,31
26,MA,Universidade Federal do Maranhão,30
27,CE,Universidade Federal do Ceará,25
28,PR,Universidade Tecnológica Federal do Paraná,25
29,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,25
30,SC,Universidade do Estado de Santa Catarina,24
31,SP,Universidade de São Paulo,23
32,MG,Universidade Federal de Uberlândia,23
33,AC,Universidade Federal do Acre,22
34,MT,Universidade Federal de Rondonópolis,21
35,MG,Universidade Federal de Lavras,20
36,PR,Universidade Estadual de Ponta Grossa,19
37,CE,Universidade Regional do Cariri,19
38,PR,Universidade Federal do Paraná,19
39,PE,Universidade de Pernambuco,18
40,BA,Universidade do Estado da Bahia,18
41,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,18
42,MS,Universidade Estadual de Mato Grosso do Sul,17
43,SE,Universidade Federal de Sergipe,16
44,BA,Universidade Estadual do Sudoeste da Bahia,15
45,PA,Universidade Federal do Oeste do Pará,15
46,SP,Universidade Federal de São Carlos,14
47,DF,Universidade de Brasília,13
48,PA,Universidade Federal Rural da Amazônia,13
49,PR,Universidade Estadual do Norte do Paraná,11
50,DF,Universidade do Distrito Federal,11
51,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",11
52,RJ,Universidade Federal Fluminense,11
53,PI,Universidade Estadual do Piauí,10
54,RR,Universidade Federal de Roraima,10
55,PA,Universidade Federal do Pará,9
56,PR,Universidade Federal da Integração Latino-Americana,9
57,PB,Universidade Federal da Paraíba,9
58,BA,Universidade Federal do Recôncavo da Bahia,8
59,PE,Universidade Federal de Pernambuco,8
60,SC,Universidade Federal da Fronteira Sul,8
61,RS,Instituto Federal do Rio Grande do Sul,8
62,PB,Universidade Estadual da Paraíba,8
