,uf_instituicao,instituicao,contagem
0,ES,Universidade Federal do Espírito Santo,8
1,PR,Universidade Estadual de Maringá,4
2,RS,Universidade Federal de Pelotas,4
3,MS,Universidade Estadual de Mato Grosso do Sul,3
4,AM,Universidade Federal do Amazonas,3
5,RJ,Universidade do Estado do Rio de Janeiro,3
6,MT,Universidade do Estado de Mato Grosso,3
7,MT,Universidade Federal do Mato Grosso,2
8,PR,Universidade Estadual do Oeste do Paraná,2
9,PR,Universidade Estadual de Londrina,2
10,PE,Universidade Federal Rural de Pernambuco,2
11,PB,Universidade Federal da Paraíba,2
12,AL,Universidade Federal de Alagoas,2
13,RS,Universidade Federal de Rio Grande,2
14,CE,Universidade Estadual Vale do Acaraú,2
15,SE,Universidade Federal de Sergipe,2
16,SP,Universidade de São Paulo,2
17,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1
18,RO,Universidade Federal de Rondônia,1
19,SC,Universidade do Estado de Santa Catarina,1
20,RJ,Universidade Federal do Rio de Janeiro,1
21,RJ,Universidade Estadual do Norte Fluminense,1
22,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",1
23,PR,Universidade Tecnológica Federal do Paraná,1
24,PR,Universidade Federal da Integração Latino-Americana,1
25,AM,Universidade Estadual do Amazonas,1
26,PA,Universidade Federal do Pará,1
27,MG,Universidade Federal de Uberlândia,1
28,MG,Centro Federal de Educação Tecnológica de Minas Gerais,1
29,CE,Universidade Federal do Ceará,1
30,CE,Universidade Estadual do Ceará,1
31,BA,Universidade do Estado da Bahia,1
32,BA,Universidade Estadual de Feira de Santana,1
33,TO,Universidade de Guripi,1
