,UF,Instituição de Ensino,Contagem,Proporção
0,ES,Universidade Federal do Espírito Santo,51,31.29%
1,MT,Universidade Federal do Mato Grosso,7,4.29%
2,MS,Universidade Estadual de Mato Grosso do Sul,7,4.29%
3,MT,Universidade do Estado de Mato Grosso,6,3.68%
4,PR,Universidade Estadual de Maringá,6,3.68%
5,AM,Universidade Federal do Amazonas,5,3.07%
6,MG,Centro Federal de Educação Tecnológica de Minas Gerais,5,3.07%
7,SP,Universidade Estadual de Campinas,5,3.07%
8,BA,Universidade do Estado da Bahia,5,3.07%
9,RS,Universidade Federal do Rio Grande do Sul,4,2.45%
10,RS,Universidade Federal de Pelotas,4,2.45%
11,CE,Universidade Estadual Vale do Acaraú,4,2.45%
12,PE,Universidade Federal Rural de Pernambuco,4,2.45%
13,DF,Universidade de Brasília,3,1.84%
14,PB,Universidade Federal da Paraíba,3,1.84%
15,PR,Universidade Estadual do Oeste do Paraná,3,1.84%
16,RJ,Universidade do Estado do Rio de Janeiro,3,1.84%
17,PR,Universidade Estadual de Londrina,2,1.23%
18,AL,Universidade Federal de Alagoas,2,1.23%
19,MG,Universidade Federal de Viçosa,2,1.23%
20,RS,Universidade Federal de Rio Grande,2,1.23%
21,CE,Universidade Federal do Ceará,2,1.23%
22,SE,Universidade Federal de Sergipe,2,1.23%
23,BA,Universidade Estadual de Feira de Santana,2,1.23%
24,SP,Universidade de São Paulo,2,1.23%
25,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,2,1.23%
26,RJ,Universidade Estadual do Norte Fluminense,1,0.61%
27,RR,Universidade Federal de Roraima,1,0.61%
28,SC,Universidade do Estado de Santa Catarina,1,0.61%
29,RO,Universidade Federal de Rondônia,1,0.61%
30,SP,Universidade Federal do ABC,1,0.61%
31,RJ,Universidade Federal do Rio de Janeiro,1,0.61%
32,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,1,0.61%
33,PR,Universidade Tecnológica Federal do Paraná,1,0.61%
34,PR,Universidade Federal da Integração Latino-Americana,1,0.61%
35,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",1,0.61%
36,PA,Universidade Federal do Pará,1,0.61%
37,MG,Universidade Federal de Uberlândia,1,0.61%
38,MA,Universidade Federal do Maranhão,1,0.61%
39,ES,Faculdade de Música do Espírito Santo,1,0.61%
40,CE,Universidade Estadual do Ceará,1,0.61%
41,BA,Universidade Federal do Sul da Bahia,1,0.61%
42,BA,Universidade Federal do Oeste da Bahia,1,0.61%
43,BA,Universidade Estadual de Santa Cruz,1,0.61%
44,AP,Universidade Federal do Amapá,1,0.61%
45,TO,Universidade de Guripi,1,0.61%
